자치구,행정동,2030인구수,2030인구비율,2030인구수_중앙값,2030인구비율_중앙값,2030인구수_상대부족,2030인구비율_상대부족,청년인구_상대취약,2030인구수_부족폭,2030인구비율_부족폭_p,청년인구_취약참고순위,생활인프라점수,2030선호시설점수,교통접근성점수,주거가성비점수,생활인프라점수_중앙값,2030선호시설점수_중앙값,교통접근성점수_중앙값,주거가성비점수_중앙값,생활인프라_취약,2030선호시설_취약,교통접근성_취약,주거가성비_평가가능,주거가성비_취약,청년정착_취약신호수,청년정착_부족분야,청년유입정착_정책후보,청년유입정착_우선후보,청년유입정착_지원검토,청년인구감소원인_추가점검,청년정착_정책등급,청년정착_정책방향,HL_Score,전체거래건수,주거표본판정,정책순위포함여부,HL산출유형
동구,충장동,2900,49.29,3709.0,23.48,True,False,False,809.0,0.0,,78.3,87.4,87.8,60.9,54.8,57.4,58.0,60.9,False,False,False,True,False,0,뚜렷한 취약신호 없음,False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,76.8,416,정상,True,4개 영역 전체 반영
동구,계림1동,2635,27.14,3709.0,23.48,True,False,False,1074.0,0.0,,67.5,73.1,90.5,0.0,54.8,57.4,58.0,60.9,False,False,False,True,True,1,주거 가성비,False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,52.1,24,정상,True,4개 영역 전체 반영
동구,지산2동,1132,28.17,3709.0,23.48,True,False,False,2577.0,0.0,,49.5,28.2,61.9,93.9,54.8,57.4,58.0,60.9,True,True,False,True,False,2,"생활 인프라, 2030 선호시설",False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,59.4,39,정상,True,4개 영역 전체 반영
동구,학동,1639,23.58,3709.0,23.48,True,False,False,2070.0,0.0,,62.1,58.1,78.5,3.7,54.8,57.4,58.0,60.9,False,False,False,True,True,1,주거 가성비,False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,46.0,50,정상,True,4개 영역 전체 반영
동구,지원1동,1870,21.62,3709.0,23.48,True,True,True,1839.0,1.86,5,53.7,24.2,4.6,75.7,54.8,57.4,58.0,60.9,True,True,True,True,False,3,"생활 인프라, 2030 선호시설, 교통 접근성",True,True,False,False,청년 유입·정착 지원 우선,생활SOC·의료·편의·문화시설 접근성 개선 검토 / 청년 문화·운동·생활편의시설 확충 가능성 검토 / 대중교통 접근성과 이동환경 개선 검토,45.5,33,정상,True,4개 영역 전체 반영
서구,치평동,8681,30.18,3709.0,23.48,False,False,False,0.0,0.0,,81.9,68.0,64.7,65.4,54.8,57.4,58.0,60.9,False,False,False,True,False,0,뚜렷한 취약신호 없음,False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,70.9,779,정상,True,4개 영역 전체 반영
서구,풍암동,7536,22.93,3709.0,23.48,False,True,False,0.0,0.55,,47.0,59.5,8.7,49.4,54.8,57.4,58.0,60.9,True,False,True,True,True,3,"생활 인프라, 교통 접근성, 주거 가성비",False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,45.1,152,정상,True,4개 영역 전체 반영
서구,화정2동,3709,19.55,3709.0,23.48,False,True,False,0.0,3.93,,57.1,57.1,70.0,83.6,54.8,57.4,58.0,60.9,False,True,False,True,False,1,2030 선호시설,False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,67.0,15,저표본 주의,True,4개 영역 전체 반영
서구,농성1동,3176,28.41,3709.0,23.48,True,False,False,533.0,0.0,,67.2,59.8,82.4,55.9,54.8,57.4,58.0,60.9,False,False,False,True,True,1,주거 가성비,False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,64.3,257,정상,True,4개 영역 전체 반영
서구,금호1동,4710,22.63,3709.0,23.48,False,True,False,0.0,0.85,,50.5,43.1,36.1,51.1,54.8,57.4,58.0,60.9,True,True,True,True,True,4,"생활 인프라, 2030 선호시설, 교통 접근성, 주거 가성비",False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,46.7,136,정상,True,4개 영역 전체 반영
남구,봉선2동,4388,16.19,3709.0,23.48,False,True,False,0.0,7.29,,54.8,57.4,70.7,15.2,54.8,57.4,58.0,60.9,False,False,False,True,True,1,주거 가성비,False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,46.0,35,정상,True,4개 영역 전체 반영
남구,진월동,5608,20.93,3709.0,23.48,False,True,False,0.0,2.55,,44.2,30.1,27.7,73.2,54.8,57.4,58.0,60.9,True,True,True,True,False,3,"생활 인프라, 2030 선호시설, 교통 접근성",False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,46.9,265,정상,True,4개 영역 전체 반영
남구,방림1동,1255,20.58,3709.0,23.48,True,True,True,2454.0,2.9,2,57.6,58.7,85.1,,54.8,57.4,58.0,60.9,False,False,False,False,False,0,뚜렷한 취약신호 없음,True,False,False,True,청년비중 낮음 · 원인 추가점검,청년 인구수와 비율은 모두 상대적으로 낮지만 현재 HL 세부지표에서 뚜렷한 취약신호가 확인되지 않아 일자리·교육·주택유형·지역이미지 등 추가 원인조사 필요,63.9,2,표본부족,False,주거비 제외·나머지 70% 재가중
남구,효덕동,3458,23.48,3709.0,23.48,True,False,False,251.0,0.0,,3.7,20.3,40.7,100.0,54.8,57.4,58.0,60.9,True,True,True,True,False,3,"생활 인프라, 2030 선호시설, 교통 접근성",False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,42.3,48,정상,True,4개 영역 전체 반영
남구,송암동,4836,23.73,3709.0,23.48,False,False,False,0.0,0.0,,29.9,22.4,41.3,,54.8,57.4,58.0,60.9,True,True,True,False,False,3,"생활 인프라, 2030 선호시설, 교통 접근성",False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,29.7,0,표본부족,False,주거비 제외·나머지 70% 재가중
북구,용봉동,10520,29.53,3709.0,23.48,False,False,False,0.0,0.0,,51.1,72.0,75.4,67.3,54.8,57.4,58.0,60.9,True,False,False,True,False,1,생활 인프라,False,False,False,False,일반 관찰,2030 인구수와 인구비율이 모두 상대적으로 낮은 지역이 아니므로 청년 유입·정착 지원 후보에서 제외,64.8,85,정상,True,4개 영역 전체 반영
북구,두암2동,2737,19.82,3709.0,23.48,True,True,True,972.0,3.66,1,50.4,52.7,56.8,,54.8,57.4,58.0,60.9,True,True,True,False,False,3,"생활 인프라, 2030 선호시설, 교통 접근성",True,True,False,False,청년 유입·정착 지원 우선,생활SOC·의료·편의·문화시설 접근성 개선 검토 / 청년 문화·운동·생활편의시설 확충 가능성 검토 / 대중교통 접근성과 이동환경 개선 검토,52.6,1,표본부족,False,주거비 제외·나머지 70% 재가중
