자치구,행정동,지역,공식조회자치구,공공임대_공급단위수,공공임대_세대수,매입임대_공급단위수,매입임대_세대수,국민임대_공급단위수,국민임대_세대수,행복주택_공급단위수,행복주택_세대수,영구임대_공급단위수,영구임대_세대수,10년임대_공급단위수,10년임대_세대수,50년임대_공급단위수,50년임대_세대수,2030인구수,공공임대_1000명당,매입임대_1000명당,행복주택_1000명당,국민임대_1000명당,영구임대_1000명당,행복주택_공급비율,공공임대_상대부족,행복주택_공급없음,2030인구_TOP10,공공임대_수요대비점검후보,행복주택_공급공백_TOP10,청년주거지원_점검후보,공공임대_공급상태,공공임대_정책보조해석,공공임대_HL반영여부,공공임대지표_역할
서구,치평동,서구 치평동,서구,4,15,4,15,0,0,0,0,0,0,0,0,0,0,8681,1.73,1.73,0.0,0.0,0.0,0.0,True,True,True,True,True,True,청년인구 대비 상대적 공급 부족,"2030 청년인구가 많은 지역이면서 청년인구 대비 전체 공공임대 공급이 25개 동 중앙값보다 낮고, 행복주택 공급도 확인되지 않아 청년 주거지원 공급 여건의 추가 점검이 필요한 지역.",False,HL-Score 미반영 / 주거정책 지원환경 보조지표
서구,풍암동,서구 풍암동,서구,14,116,14,116,0,0,0,0,0,0,0,0,0,0,7536,15.39,15.39,0.0,0.0,0.0,0.0,True,True,True,True,True,True,청년인구 대비 상대적 공급 부족,"2030 청년인구가 많은 지역이면서 청년인구 대비 전체 공공임대 공급이 25개 동 중앙값보다 낮고, 행복주택 공급도 확인되지 않아 청년 주거지원 공급 여건의 추가 점검이 필요한 지역.",False,HL-Score 미반영 / 주거정책 지원환경 보조지표
남구,진월동,남구 진월동,남구,20,24,20,24,0,0,0,0,0,0,0,0,0,0,5608,4.28,4.28,0.0,0.0,0.0,0.0,True,True,True,True,True,True,청년인구 대비 상대적 공급 부족,"2030 청년인구가 많은 지역이면서 청년인구 대비 전체 공공임대 공급이 25개 동 중앙값보다 낮고, 행복주택 공급도 확인되지 않아 청년 주거지원 공급 여건의 추가 점검이 필요한 지역.",False,HL-Score 미반영 / 주거정책 지원환경 보조지표
광산구,수완동,광산구 수완동,광산구,22,6828,14,18,8,6810,0,0,0,0,0,0,0,0,16643,410.26,1.08,0.0,409.18,0.0,0.0,False,True,True,False,True,False,상대적으로 공급 양호,2030 청년인구 TOP10 지역이지만 현재 수집된 공공임대 데이터에서 행복주택 공급이 확인되지 않은 지역. 실제 청년 입주 가능 물량은 별도 확인이 필요함.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
북구,첨단2동,북구 첨단2동,광산구,26,296,25,96,0,0,1,200,0,0,0,0,0,0,12308,24.05,7.8,16.25,0.0,0.0,67.57,True,False,True,True,False,False,청년인구 대비 상대적 공급 부족,2030 청년인구 규모가 큰 지역에 비해 공공임대 공급량이 상대적으로 낮아 공공주거 공급 여건을 추가 점검할 필요가 있는 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
북구,용봉동,북구 용봉동,북구,58,1337,57,436,1,901,0,0,0,0,0,0,0,0,10520,127.09,41.44,0.0,85.65,0.0,0.0,False,True,True,False,True,False,상대적으로 공급 양호,2030 청년인구 TOP10 지역이지만 현재 수집된 공공임대 데이터에서 행복주택 공급이 확인되지 않은 지역. 실제 청년 입주 가능 물량은 별도 확인이 필요함.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
광산구,첨단1동,광산구 첨단1동,광산구,45,247,43,47,0,0,2,200,0,0,0,0,0,0,7680,32.16,6.12,26.04,0.0,0.0,80.97,True,False,True,True,False,False,청년인구 대비 상대적 공급 부족,2030 청년인구 규모가 큰 지역에 비해 공공임대 공급량이 상대적으로 낮아 공공주거 공급 여건을 추가 점검할 필요가 있는 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
광산구,우산동,광산구 우산동,광산구,33,4272,28,248,0,0,2,661,3,3363,0,0,0,0,7316,583.93,33.9,90.35,0.0,459.68,15.47,False,False,True,False,False,False,상대적으로 공급 양호,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
남구,송암동,남구 송암동,남구,47,1177,44,70,1,710,1,264,0,0,1,133,0,0,4836,243.38,14.47,54.59,146.82,0.0,22.43,False,False,True,False,False,False,상대적으로 공급 양호,현재 프로젝트 상대비교 기준에서는 공공임대 공급 부족 복합 신호가 확인되지 않은 지역.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
서구,금호1동,서구 금호1동,서구,9,1553,8,53,0,0,0,0,1,1500,0,0,0,0,4710,329.72,11.25,0.0,0.0,318.47,0.0,False,True,True,False,True,False,상대적으로 공급 양호,2030 청년인구 TOP10 지역이지만 현재 수집된 공공임대 데이터에서 행복주택 공급이 확인되지 않은 지역. 실제 청년 입주 가능 물량은 별도 확인이 필요함.,False,HL-Score 미반영 / 주거정책 지원환경 보조지표
