자치구,행정동,2030인구수,2030인구비율,생활시설_총개수,생활시설_1000명당,버스정류소_1500m_개수,버스정류소_1000명당,가장가까운_버스정류소_m,지하철역_개수,지하철역_최소거리_m,선호시설_총개수,선호시설_1000명당,생활시설_중앙값대비,교통_중앙값대비,선호시설_중앙값대비,생활시설_상대부족,교통_상대부족,선호시설_상대부족,2030인구_TOP10,정책검토_후보,상대적_부족분야
광산구,수완동,16643,23.14,1209,72.64,70,4.21,46.9,0,,199,11.96,-94.67,-15.17,-8.2,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설"
북구,첨단2동,12308,30.83,940,76.37,94,7.64,150.8,0,,113,9.18,-90.94,-11.73,-10.98,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설"
북구,용봉동,10520,29.53,947,90.02,112,10.65,101.5,0,,178,16.92,-77.3,-8.72,-3.24,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설"
서구,치평동,8681,30.18,1389,160.0,83,9.56,63.7,2,672.0,175,20.16,-7.31,-9.81,0.0,True,True,False,True,False,"생활 인프라, 교통"
광산구,첨단1동,7680,28.82,1285,167.32,90,11.72,61.8,0,,117,15.23,0.0,-7.65,-4.92,False,True,True,True,False,"교통, 청년 선호시설"
서구,풍암동,7536,22.93,435,57.72,47,6.24,266.6,0,,121,16.06,-109.59,-13.13,-4.1,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설"
광산구,우산동,7316,26.66,508,69.44,73,9.98,135.6,0,,81,11.07,-97.88,-9.39,-9.09,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설"
남구,진월동,5608,20.93,580,103.42,51,9.09,153.4,0,,53,9.45,-63.89,-10.28,-10.71,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설"
남구,송암동,4836,23.73,189,39.08,57,11.79,93.2,0,,47,9.72,-128.24,-7.58,-10.44,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설"
서구,금호1동,4710,22.63,666,141.4,65,13.8,185.6,0,,76,16.14,-25.92,-5.57,-4.02,True,True,True,True,True,"생활 인프라, 교통, 청년 선호시설"
광산구,신가동,4415,24.29,819,185.5,48,10.87,233.7,0,,69,15.63,18.19,-8.5,-4.53,False,True,True,False,False,"교통, 청년 선호시설"
남구,봉선2동,4388,16.19,1309,298.31,85,19.37,27.2,0,,116,26.44,131.0,0.0,6.28,False,False,False,False,False,상대부족 없음
서구,화정2동,3709,19.55,1016,273.93,105,28.31,117.3,2,566.0,160,43.14,106.61,8.94,22.98,False,False,False,False,False,상대부족 없음
북구,운암1동,3638,20.92,866,238.04,82,22.54,333.5,0,,116,31.89,70.73,3.17,11.73,False,False,False,False,False,상대부족 없음
남구,효덕동,3458,23.48,139,40.2,58,16.77,104.7,0,,20,5.78,-127.12,-2.6,-14.38,True,True,True,False,False,"생활 인프라, 교통, 청년 선호시설"
서구,농성1동,3176,28.41,789,248.43,122,38.41,81.8,3,326.0,336,105.79,81.11,19.04,85.63,False,False,False,False,False,상대부족 없음
북구,문흥1동,2910,20.75,482,165.64,64,21.99,70.5,0,,83,28.52,-1.68,2.62,8.36,True,False,False,False,False,생활 인프라
동구,충장동,2900,49.29,1816,626.21,135,46.55,80.8,2,305.0,705,243.1,458.89,27.18,222.94,False,False,False,False,False,상대부족 없음
북구,두암2동,2737,19.82,560,204.6,77,28.13,94.1,0,,94,34.34,37.29,8.76,14.19,False,False,False,False,False,상대부족 없음
동구,계림1동,2635,27.14,1425,540.8,149,56.55,100.3,2,770.0,687,260.72,373.48,37.18,240.56,False,False,False,False,False,상대부족 없음
광산구,송정1동,2234,23.26,535,239.48,61,27.31,227.1,3,170.0,31,13.88,72.16,7.93,-6.28,False,False,True,False,False,청년 선호시설
동구,지원1동,1870,21.62,307,164.17,50,26.74,322.9,2,555.0,38,20.32,-3.15,7.37,0.16,True,False,False,False,False,생활 인프라
동구,학동,1639,23.58,809,493.59,104,63.45,48.1,2,206.0,130,79.32,326.28,44.08,59.16,False,False,False,False,False,상대부족 없음
남구,방림1동,1255,20.58,990,788.84,124,98.8,67.9,0,,147,117.13,621.53,79.43,96.97,False,False,False,False,False,상대부족 없음
동구,지산2동,1132,28.17,764,674.91,88,77.74,108.6,1,883.0,92,81.27,507.59,58.37,61.11,False,False,False,False,False,상대부족 없음
