자치구,행정동,지역,전체거래건수,월환산주거비_평균값_만원,주거표본판정,생활인프라점수,2030선호시설점수,교통접근성점수,주거가성비점수,접근성지수,HL_Score,HL정책비교순위,HL산출유형,HL비교가능성,정책순위포함여부
동구,충장동,동구 충장동,416,46.89,정상,78.3,87.4,87.8,60.9,83.6,76.8,1,4개 영역 전체 반영,정상,True
서구,치평동,서구 치평동,779,45.01,정상,81.9,68.0,64.7,65.4,73.3,70.9,2,4개 영역 전체 반영,정상,True
서구,화정2동,서구 화정2동,15,37.4,저표본 주의,57.1,57.1,70.0,83.6,59.9,67.0,3,4개 영역 전체 반영,저표본 주의,True
북구,용봉동,북구 용봉동,85,44.2,정상,51.1,72.0,75.4,67.3,63.8,64.8,4,4개 영역 전체 반영,정상,True
서구,농성1동,서구 농성1동,257,48.97,정상,67.2,59.8,82.4,55.9,67.8,64.3,5,4개 영역 전체 반영,정상,True
북구,첨단2동,북구 첨단2동,499,48.06,정상,59.7,73.1,59.8,58.1,64.5,62.6,6,4개 영역 전체 반영,정상,True
광산구,송정1동,광산구 송정1동,50,31.58,정상,62.3,34.4,27.4,97.5,44.9,60.6,7,4개 영역 전체 반영,정상,True
동구,지산2동,동구 지산2동,39,33.07,정상,49.5,28.2,61.9,93.9,44.6,59.4,8,4개 영역 전체 반영,정상,True
광산구,우산동,광산구 우산동,328,45.62,정상,57.1,57.4,48.6,63.9,55.4,57.9,9,4개 영역 전체 반영,정상,True
광산구,첨단1동,광산구 첨단1동,189,58.39,정상,63.8,71.8,69.2,33.4,67.8,57.5,10,4개 영역 전체 반영,정상,True
북구,문흥1동,북구 문흥1동,23,45.28,정상,39.0,67.7,50.3,64.7,51.7,55.6,11,4개 영역 전체 반영,정상,True
동구,계림1동,동구 계림1동,24,72.36,정상,67.5,73.1,90.5,0.0,74.4,52.1,12,4개 영역 전체 반영,정상,True
남구,진월동,남구 진월동,265,41.75,정상,44.2,30.1,27.7,73.2,35.6,46.9,13,4개 영역 전체 반영,정상,True
서구,금호1동,서구 금호1동,136,50.99,정상,50.5,43.1,36.1,51.1,44.8,46.7,14,4개 영역 전체 반영,정상,True
동구,학동,동구 학동,50,70.83,정상,62.1,58.1,78.5,3.7,64.2,46.0,15,4개 영역 전체 반영,정상,True
남구,봉선2동,남구 봉선2동,35,65.99,정상,54.8,57.4,70.7,15.2,59.1,46.0,16,4개 영역 전체 반영,정상,True
동구,지원1동,동구 지원1동,33,40.69,정상,53.7,24.2,4.6,75.7,32.6,45.5,17,4개 영역 전체 반영,정상,True
서구,풍암동,서구 풍암동,152,51.71,정상,47.0,59.5,8.7,49.4,43.3,45.1,18,4개 영역 전체 반영,정상,True
북구,운암1동,북구 운암1동,61,57.64,정상,50.0,55.6,28.8,35.2,47.4,43.8,19,4개 영역 전체 반영,정상,True
남구,효덕동,남구 효덕동,48,30.53,정상,3.7,20.3,40.7,100.0,17.6,42.3,20,4개 영역 전체 반영,정상,True
광산구,신가동,광산구 신가동,9,49.9,저표본 주의,40.5,34.0,14.1,53.7,32.5,38.9,21,4개 영역 전체 반영,저표본 주의,True
광산구,수완동,광산구 수완동,0,,표본부족,65.2,70.3,58.0,,65.5,65.5,,주거비 제외·나머지 70% 재가중,제한,False
남구,방림1동,남구 방림1동,2,29.17,표본부족,57.6,58.7,85.1,,63.9,63.9,,주거비 제외·나머지 70% 재가중,제한,False
북구,두암2동,북구 두암2동,1,17.0,표본부족,50.4,52.7,56.8,,52.6,52.6,,주거비 제외·나머지 70% 재가중,제한,False
남구,송암동,남구 송암동,0,,표본부족,29.9,22.4,41.3,,29.7,29.7,,주거비 제외·나머지 70% 재가중,제한,False
