aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm,주소키,위도,경도,검색주소,카카오매칭주소,공식자치구,공식행정동,행정동코드,매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,공식지역,프로젝트지역,보증금_만원,월세_만원,전용면적_m2,주소_정규화,공공임대주소일치
AM-City하이클래스,29110-324,2014,25.08~26.02,신규,25,7,2025,300,17.67,15,154-1,43,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,300,43,17.67,동구 금남로 185,True
AM-City하이클래스,29110-324,2014,25.08~26.02,신규,25,7,2025,300,17.67,6,154-1,43,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,300,43,17.67,동구 금남로 185,True
AM-City하이클래스,29110-324,2014,25.08~26.01,신규,25,7,2025,300,15.1697,11,154-1,40,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,300,40,15.1697,동구 금남로 185,True
AM-City하이클래스,29110-324,2014,25.08~25.12,신규,25,7,2025,300,15.1697,6,154-1,40,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,300,40,15.1697,동구 금남로 185,True
AM-City하이클래스,29110-324,2014,25.08~26.08,신규,27,7,2025,500,17.67,13,154-1,38,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,500,38,17.67,동구 금남로 185,True
AM-City하이클래스,29110-324,2014,25.08~26.08,신규,25,7,2025,300,15.1697,11,154-1,35,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,300,35,15.1697,동구 금남로 185,True
충장고운라피네,29110-348,2017,25.08~27.07,갱신,18,7,2025,"12,257",49.831,13,34,0,"11,900",,충장로58번길 14,,00014,00000,4277237,0,12210,12210,충장로4가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|충장로4가|34|충장로58번길 14|00014|00000,35.1493869644374,126.913097129313,광주광역시 동구 충장로4가 34,전남광주통합특별시 동구 충장로58번길 14,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,12257,0,49.831,동구 충장로58번길 14,True
충장고운라피네,29110-348,2017,25.08~26.08,신규,10,7,2025,"2,000",49.831,3,34,60,,,충장로58번길 14,,00014,00000,4277237,0,12210,12210,충장로4가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|충장로4가|34|충장로58번길 14|00014|00000,35.1493869644374,126.913097129313,광주광역시 동구 충장로4가 34,전남광주통합특별시 동구 충장로58번길 14,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,2000,60,49.831,동구 충장로58번길 14,True
충장고운라피네,29110-348,2017,25.08~26.08,신규,2,7,2025,"1,000",49.831,8,34,70,,,충장로58번길 14,,00014,00000,4277237,0,12210,12210,충장로4가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|충장로4가|34|충장로58번길 14|00014|00000,35.1493869644374,126.913097129313,광주광역시 동구 충장로4가 34,전남광주통합특별시 동구 충장로58번길 14,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동,1000,70,49.831,동구 충장로58번길 14,True
농성동유탑유블레스,29140-335,2012,25.09~26.08,신규,31,7,2025,300,19.7906,12,112-1,36,,,경열로45번길 13,0,00013,00000,4280012,1,12240,12240,농성동,,서구,12240,아파트,전월세,202507,아파트 전월세,,,,,,서구|농성동|112-1|경열로45번길 13|00013|00000,35.1522648956668,126.891494681592,광주광역시 서구 농성동 112-1,전남광주통합특별시 서구 경열로45번길 13,서구,농성1동,1224065000,성공,서구,농성1동,True,서구 농성1동,서구 농성1동,300,36,19.7906,서구 경열로45번길 13,True
