hsmpSn,공급유형,원본행수,세대수_고유값수,세대수_고유값,대표세대수,세대수일관성,주소
1249,영구임대,3,1,500,500,일치,전남광주통합특별시 서구 화정로 87-1
1250,영구임대,3,1,1500,1500,일치,전남광주통합특별시 서구 운천로32번길 23
1252,영구임대,4,1,1485,1485,일치,전남광주통합특별시 광산구 우산로 17
1253,국민임대,5,1,886,886,일치,전남광주통합특별시 광산구 목련로21번길 45
1254,국민임대,5,1,650,650,일치,전남광주통합특별시 광산구 왕버들로252번길 46
1255,매입임대,2,1,12,12,일치,전남광주통합특별시 동구 중흥로227번길 14-6
1256,매입임대,3,1,12,12,일치,전남광주통합특별시 동구 중흥로227번길 6-7
1257,매입임대,5,1,12,12,일치,전남광주통합특별시 동구 무등로449번길 5-17
1258,매입임대,5,1,18,18,일치,전남광주통합특별시 동구 화산로 357-8
1259,매입임대,4,1,12,12,일치,전남광주통합특별시 서구 천변좌로118번길 10-1
1260,매입임대,2,1,12,12,일치,전남광주통합특별시 서구 상무대로1171번길 5-1
1261,매입임대,3,1,9,9,일치,전남광주통합특별시 서구 상무대로1171번길 1
1263,매입임대,2,1,12,12,일치,전남광주통합특별시 서구 월산로225번길 9-14
1275,매입임대,2,1,12,12,일치,전남광주통합특별시 서구 화정로293번길 6-12
1276,매입임대,2,1,9,9,일치,전남광주통합특별시 서구 월드컵4강로68번길 19-17
1277,매입임대,4,1,12,12,일치,전남광주통합특별시 서구 시청서편로12번길 2-1
1278,매입임대,5,1,8,8,일치,전남광주통합특별시 서구 금호운천길 70-6
1279,매입임대,3,1,9,9,일치,전남광주통합특별시 서구 화개2로9번길 27-7
1280,매입임대,1,1,6,6,일치,전남광주통합특별시 남구 수박등로5번길 13
1281,매입임대,2,1,12,12,일치,전남광주통합특별시 남구 백운로17번길 19
1282,매입임대,4,1,12,12,일치,전남광주통합특별시 남구 진다리로39번길 12
1283,매입임대,3,1,12,12,일치,전남광주통합특별시 남구 회재로1224번길 26
1284,매입임대,3,1,12,12,일치,전남광주통합특별시 남구 회재로1224번길 24
1285,매입임대,2,1,9,9,일치,전남광주통합특별시 남구 대남대로107번길 13-10
1286,매입임대,2,1,9,9,일치,전남광주통합특별시 북구 경열로233번길 43
1287,매입임대,5,1,11,11,일치,전남광주통합특별시 북구 중가로 33-5
1288,매입임대,3,1,9,9,일치,전남광주통합특별시 북구 저불로73번길 22-7
1289,매입임대,4,1,8,8,일치,전남광주통합특별시 북구 저불로73번길 22-3
1290,매입임대,2,1,16,16,일치,전남광주통합특별시 북구 고운로23번길 3-3
1291,매입임대,8,1,15,15,일치,전남광주통합특별시 북구 고운로 19
1292,매입임대,1,1,1,1,일치,전남광주통합특별시 북구 서하로 405
1293,매입임대,2,1,12,12,일치,전남광주통합특별시 북구 동문대로122번길 71
1294,매입임대,2,1,12,12,일치,전남광주통합특별시 북구 동문대로122번길 69
1295,매입임대,4,1,9,9,일치,전남광주통합특별시 북구 동문대로122번길 71-1
