hsmpSn,행수,세대수_고유값수,세대수_고유값,주소_고유값수,주소,공급유형_고유값수,공급유형,대표세대수_후보,세대수일관성
1249,3,1,500,1,전남광주통합특별시 서구 화정로 87-1,1,영구임대,500,일치
1250,3,1,1500,1,전남광주통합특별시 서구 운천로32번길 23,1,영구임대,1500,일치
1252,4,1,1485,1,전남광주통합특별시 광산구 우산로 17,1,영구임대,1485,일치
1253,5,1,886,1,전남광주통합특별시 광산구 목련로21번길 45,1,국민임대,886,일치
1254,5,1,650,1,전남광주통합특별시 광산구 왕버들로252번길 46,1,국민임대,650,일치
1255,2,1,12,1,전남광주통합특별시 동구 중흥로227번길 14-6,1,매입임대,12,일치
1256,3,1,12,1,전남광주통합특별시 동구 중흥로227번길 6-7,1,매입임대,12,일치
1257,5,1,12,1,전남광주통합특별시 동구 무등로449번길 5-17,1,매입임대,12,일치
1258,5,1,18,1,전남광주통합특별시 동구 화산로 357-8,1,매입임대,18,일치
1259,4,1,12,1,전남광주통합특별시 서구 천변좌로118번길 10-1,1,매입임대,12,일치
1260,2,1,12,1,전남광주통합특별시 서구 상무대로1171번길 5-1,1,매입임대,12,일치
1261,3,1,9,1,전남광주통합특별시 서구 상무대로1171번길 1,1,매입임대,9,일치
1263,2,1,12,1,전남광주통합특별시 서구 월산로225번길 9-14,1,매입임대,12,일치
1275,2,1,12,1,전남광주통합특별시 서구 화정로293번길 6-12,1,매입임대,12,일치
1276,2,1,9,1,전남광주통합특별시 서구 월드컵4강로68번길 19-17,1,매입임대,9,일치
1277,4,1,12,1,전남광주통합특별시 서구 시청서편로12번길 2-1,1,매입임대,12,일치
1278,5,1,8,1,전남광주통합특별시 서구 금호운천길 70-6,1,매입임대,8,일치
1279,3,1,9,1,전남광주통합특별시 서구 화개2로9번길 27-7,1,매입임대,9,일치
1280,1,1,6,1,전남광주통합특별시 남구 수박등로5번길 13,1,매입임대,6,일치
1281,2,1,12,1,전남광주통합특별시 남구 백운로17번길 19,1,매입임대,12,일치
1282,4,1,12,1,전남광주통합특별시 남구 진다리로39번길 12,1,매입임대,12,일치
1283,3,1,12,1,전남광주통합특별시 남구 회재로1224번길 26,1,매입임대,12,일치
1284,3,1,12,1,전남광주통합특별시 남구 회재로1224번길 24,1,매입임대,12,일치
1285,2,1,9,1,전남광주통합특별시 남구 대남대로107번길 13-10,1,매입임대,9,일치
1286,2,1,9,1,전남광주통합특별시 북구 경열로233번길 43,1,매입임대,9,일치
