주소,단지ID수,단지ID,공급유형,원본행수
전남광주통합특별시 광산구 광산로20번길 28,2,"31261641, 31258902",매입임대,2
전남광주통합특별시 광산구 목련로 15,28,"31390251, 31381045, 31371483, 31371471, 31371458, 31328410, 31328393, 31328392, 31328378, 31328361, 31328351, 31281615, 31281611, 31275421, 31275348, 31275324, 31272414, 31270206, 31258872, 31243785, 31243763, 31243714, 31237239, 31232549, 31229630, 31229629, 31226655, 31224142",매입임대,29
전남광주통합특별시 광산구 목련로 41,24,"31381052, 31381042, 31381031, 31371488, 31371482, 31371476, 31342201, 31342191, 31342186, 31274911, 31270708, 31258917, 31258916, 31256372, 31252684, 31240627, 31240625, 31240622, 31229634, 31226651, 31226649, 31224161, 31224158, 31224138",매입임대,25
전남광주통합특별시 광산구 목련로 42,6,"31258967, 31247252, 31245311, 31240631, 31224160, 31224159",매입임대,6
전남광주통합특별시 광산구 목련로219번길 120,2,"30704972, 30704971",매입임대,12
전남광주통합특별시 광산구 무진대로 278-11,2,"31371481, 31371469",매입임대,5
전남광주통합특별시 광산구 사암로118번길 97-7,3,"30704979, 30704978, 30704977",매입임대,12
전남광주통합특별시 광산구 사암로171번길 90-4,4,"31859718, 31788895, 31779482, 31731589",매입임대,6
전남광주통합특별시 광산구 선운로 33,10,"31328377, 31328375, 31281607, 31275287, 31275286, 31258885, 31251599, 31249462, 31243747, 31237477",매입임대,14
전남광주통합특별시 광산구 선운로 55,12,"31328419, 31328418, 31328404, 31328362, 31281608, 31275423, 31275327, 31275326, 31275310, 31275288, 31261640, 31258934",매입임대,14
전남광주통합특별시 광산구 선운로20번길 47,2,"31328416, 31275403",매입임대,3
전남광주통합특별시 광산구 선운중앙로 43,6,"31328411, 31281612, 31275311, 31275289, 31245313, 31245307",매입임대,7
전남광주통합특별시 광산구 선운중앙로 45,3,"31371475, 31275328, 31224139",매입임대,3
전남광주통합특별시 광산구 소촌로 100,8,"31390253, 31371495, 31371470, 31328376, 31275422, 31275365, 31258918, 31258884",매입임대,10
전남광주통합특별시 광산구 소촌로86번길 20-17,2,"31258886, 31237472",매입임대,2
전남광주통합특별시 광산구 송도로212번길 15,2,"31350931, 31350930",매입임대,5
전남광주통합특별시 광산구 신창로161번길 19,4,"31249479, 31243724, 31237478, 31237473",매입임대,4
전남광주통합특별시 광산구 신창로161번길 34,37,"31381050, 31381046, 31381038, 31381032, 31371497, 31371496, 31371489, 31342212, 31281618, 31281617, 31281603, 31281594, 31275426, 31275425, 31275424, 31275401, 31275400, 31275379, 31275349, 31275331, 31275330, 31275329, 31275313, 31275312, 31275290, 31261642, 31258948, 31258935, 31251559, 31245319, 31243778, 31237479, 31237464, 31237463, 31237462, 31224150, 30473592",매입임대,37
전남광주통합특별시 광산구 신창로35번길 20,5,"31342185, 31281249, 31256381, 31237474, 31237465",매입임대,5
전남광주통합특별시 광산구 신창로35번길 54,4,"31249463, 31247251, 31243796, 31243764",매입임대,4
전남광주통합특별시 광산구 신창로35번길 80,12,"31342175, 31281613, 31281595, 31275428, 31275427, 31275402, 31275380, 31258968, 31243797, 31240635, 31237468, 31237466",매입임대,12
전남광주통합특별시 광산구 신창로71번길 16,2,"31342174, 31258903",매입임대,2
