원본주소,정규화주소,검색주소,경도,위도,카카오매칭주소,공식시도,공식자치구,공식행정동,공식행정동코드,프로젝트자치구,프로젝트행정동,매핑상태,오류내용
전남광주통합특별시 동구 중앙로 248,광주광역시 동구 중앙로 248,광주광역시 동구 중앙로 248,126.920306643405,35.1537180008102,전남광주통합특별시 동구 중앙로 248,전남광주통합특별시,동구,동명동,1221054500,동구,동명동,성공,
전남광주통합특별시 동구 금남로 185,광주광역시 동구 금남로 185,광주광역시 동구 금남로 185,126.913773916333,35.1517778565085,전남광주통합특별시 동구 금남로 185,전남광주통합특별시,동구,충장동,1221052500,동구,충장동,성공,
전남광주통합특별시 동구 구성로148번길 10-2,광주광역시 동구 구성로148번길 10-2,광주광역시 동구 구성로148번길 10-2,126.911002877713,35.1493100004472,전남광주통합특별시 동구 구성로148번길 10-2,전남광주통합특별시,동구,충장동,1221052500,동구,충장동,성공,
전남광주통합특별시 동구 의재로88번길 9-2,광주광역시 동구 의재로88번길 9-2,광주광역시 동구 의재로88번길 9-2,126.938081372133,35.1315116161507,전남광주통합특별시 동구 의재로88번길 9-2,전남광주통합특별시,동구,지원1동,1221073000,동구,지원1동,성공,
전남광주통합특별시 동구 문화전당로23번길 26,광주광역시 동구 문화전당로23번길 26,광주광역시 동구 문화전당로23번길 26,126.917080005484,35.1442200879515,전남광주통합특별시 동구 문화전당로23번길 26,전남광주통합특별시,동구,서남동,1221065500,동구,서남동,성공,
전남광주통합특별시 동구 천변우로 361-15,광주광역시 동구 천변우로 361-15,광주광역시 동구 천변우로 361-15,126.911220884488,35.1489540326832,전남광주통합특별시 동구 천변우로 361-15,전남광주통합특별시,동구,충장동,1221052500,동구,충장동,성공,
전남광주통합특별시 동구 의재로88번길 9-7,광주광역시 동구 의재로88번길 9-7,광주광역시 동구 의재로88번길 9-7,126.937650731885,35.1317903674359,전남광주통합특별시 동구 의재로88번길 9-7,전남광주통합특별시,동구,지원1동,1221073000,동구,지원1동,성공,
전남광주통합특별시 동구 동계천로 80,광주광역시 동구 동계천로 80,광주광역시 동구 동계천로 80,126.9197438147,35.1524142622105,전남광주통합특별시 동구 동계천로 80,전남광주통합특별시,동구,충장동,1221052500,동구,충장동,성공,
전남광주통합특별시 동구 남문로 307,광주광역시 동구 남문로 307,광주광역시 동구 남문로 307,126.938382703563,35.1008564925425,전남광주통합특별시 동구 남문로 307,전남광주통합특별시,동구,지원2동,1221074000,동구,지원2동,성공,
전남광주통합특별시 동구 계림로30번길 15,광주광역시 동구 계림로30번길 15,광주광역시 동구 계림로30번길 15,126.925452875099,35.1570873153984,전남광주통합특별시 동구 계림로30번길 15,전남광주통합특별시,동구,산수1동,1221059000,동구,산수1동,성공,
전남광주통합특별시 동구 무등로 374,광주광역시 동구 무등로 374,광주광역시 동구 무등로 374,126.923988069423,35.1587794291597,전남광주통합특별시 동구 무등로 374,전남광주통합특별시,동구,계림2동,1221057000,동구,계림2동,성공,
전남광주통합특별시 동구 중흥로227번길 20-8,광주광역시 동구 중흥로227번길 20-8,광주광역시 동구 중흥로227번길 20-8,126.919554075514,35.1608737590289,전남광주통합특별시 동구 중흥로227번길 20-8,전남광주통합특별시,동구,계림1동,1221056000,동구,계림1동,성공,
전남광주통합특별시 동구 남문로693번길 11,광주광역시 동구 남문로693번길 11,광주광역시 동구 남문로693번길 11,126.928362837801,35.1298280121729,전남광주통합특별시 동구 남문로693번길 11,전남광주통합특별시,동구,학동,1221068500,동구,학동,성공,
전남광주통합특별시 동구 동명로69번길 20,광주광역시 동구 동명로69번길 20,광주광역시 동구 동명로69번길 20,126.928532288719,35.1529983479735,전남광주통합특별시 동구 동명로69번길 20,전남광주통합특별시,동구,지산1동,1221062000,동구,지산1동,성공,
전남광주통합특별시 동구 용산2로 20,광주광역시 동구 용산2로 20,광주광역시 동구 용산2로 20,126.922189198913,35.1175853849506,전남광주통합특별시 동구 용산2로 20,전남광주통합특별시,동구,지원2동,1221074000,동구,지원2동,성공,
전남광주통합특별시 동구 충장로58번길 14,광주광역시 동구 충장로58번길 14,광주광역시 동구 충장로58번길 14,126.913262228761,35.1493436371393,전남광주통합특별시 동구 충장로58번길 14,전남광주통합특별시,동구,충장동,1221052500,동구,충장동,성공,
전남광주통합특별시 동구 산수길39번길 25,광주광역시 동구 산수길39번길 25,광주광역시 동구 산수길39번길 25,126.926440268303,35.1587364156589,전남광주통합특별시 동구 산수길39번길 25,전남광주통합특별시,동구,계림2동,1221057000,동구,계림2동,성공,
전남광주통합특별시 동구 산수길35번길 26,광주광역시 동구 산수길35번길 26,광주광역시 동구 산수길35번길 26,126.926276897519,35.1585535206338,전남광주통합특별시 동구 산수길35번길 26,전남광주통합특별시,동구,계림2동,1221057000,동구,계림2동,성공,
전남광주통합특별시 동구 산수길35번길 28,광주광역시 동구 산수길35번길 28,광주광역시 동구 산수길35번길 28,126.926140242942,35.1586851260398,전남광주통합특별시 동구 산수길35번길 28,전남광주통합특별시,동구,계림2동,1221057000,동구,계림2동,성공,
전남광주통합특별시 동구 산수길39번길 23,광주광역시 동구 산수길39번길 23,광주광역시 동구 산수길39번길 23,126.926550008688,35.1586312034381,전남광주통합특별시 동구 산수길39번길 23,전남광주통합특별시,동구,계림2동,1221057000,동구,계림2동,성공,
전남광주통합특별시 동구 산수길39번길 25-1,광주광역시 동구 산수길39번길 25-1,광주광역시 동구 산수길39번길 25-1,126.926330198287,35.1588417177139,전남광주통합특별시 동구 산수길39번길 25-1,전남광주통합특별시,동구,계림2동,1221057000,동구,계림2동,성공,
