hsmpSn,공급유형,대표세대수,원본행수,원본자치구,주소수,주소,전용면적_최소,전용면적_최대,공식자치구,공식행정동,프로젝트자치구,프로젝트행정동,25개동포함여부
1249,영구임대,500.0,3,서구,1,전남광주통합특별시 서구 화정로 87-1,26.37,40.05,서구,상무2동,서구,상무2동,False
1250,영구임대,1500.0,3,서구,1,전남광주통합특별시 서구 운천로32번길 23,24.01,39.78,서구,금호1동,서구,금호1동,True
1252,영구임대,1485.0,4,광산구,1,전남광주통합특별시 광산구 우산로 17,24.42,48.84,광산구,우산동,광산구,우산동,True
1253,국민임대,886.0,5,광산구,1,전남광주통합특별시 광산구 목련로21번길 45,48.048,59.5964,광산구,하남동,광산구,하남동,False
1254,국민임대,650.0,5,광산구,1,전남광주통합특별시 광산구 왕버들로252번길 46,49.8295,49.9848,광산구,신창동,광산구,신창동,False
1255,매입임대,12.0,2,동구,1,전남광주통합특별시 동구 중흥로227번길 14-6,47.88,49.63,동구,계림1동,동구,계림1동,True
1256,매입임대,12.0,3,동구,1,전남광주통합특별시 동구 중흥로227번길 6-7,47.88,49.21,동구,계림1동,동구,계림1동,True
1257,매입임대,12.0,5,동구,1,전남광주통합특별시 동구 무등로449번길 5-17,42.95,49.72,동구,산수1동,동구,산수1동,False
1258,매입임대,18.0,5,동구,1,전남광주통합특별시 동구 화산로 357-8,54.47,64.4,동구,지원2동,동구,지원2동,False
1259,매입임대,12.0,4,서구,1,전남광주통합특별시 서구 천변좌로118번길 10-1,49.59,50.33,서구,양3동,서구,양3동,False
1260,매입임대,12.0,2,서구,1,전남광주통합특별시 서구 상무대로1171번길 5-1,48.3,49.71,서구,농성1동,서구,농성1동,True
1261,매입임대,9.0,3,서구,1,전남광주통합특별시 서구 상무대로1171번길 1,51.06,57.08,서구,농성1동,서구,농성1동,True
1263,매입임대,12.0,2,서구,1,전남광주통합특별시 서구 월산로225번길 9-14,48.51,48.66,서구,농성1동,서구,농성1동,True
1275,매입임대,12.0,2,서구,1,전남광주통합특별시 서구 화정로293번길 6-12,48.4,50.43,서구,농성2동,서구,농성2동,False
1276,매입임대,9.0,2,서구,1,전남광주통합특별시 서구 월드컵4강로68번길 19-17,48.75,54.78,서구,화정3동,서구,화정3동,False
1277,매입임대,12.0,4,서구,1,전남광주통합특별시 서구 시청서편로12번길 2-1,27.78,29.21,서구,치평동,서구,치평동,True
1278,매입임대,8.0,5,서구,1,전남광주통합특별시 서구 금호운천길 70-6,51.98,60.57,서구,금호1동,서구,금호1동,True
1279,매입임대,9.0,3,서구,1,전남광주통합특별시 서구 화개2로9번길 27-7,21.3,36.9,서구,금호2동,서구,금호2동,False
1280,매입임대,6.0,1,남구,1,전남광주통합특별시 남구 수박등로5번길 13,56.02,56.02,남구,월산5동,남구,월산5동,False
