팀계획_자치구,원본데이터_자치구,행정동,행정동코드,총인구수,20~29세,30~39세,2030인구수,2030인구비율(%),기준월,확인사항
동구,동구,충장동,1221052500,5883,1666,1234,2900,49.29,2026-08,
동구,동구,계림1동,1221056000,9708,942,1693,2635,27.14,2026-08,
동구,동구,지산2동,1221063000,4018,801,331,1132,28.17,2026-08,
동구,동구,학동,1221068500,6952,787,852,1639,23.58,2026-08,
동구,동구,지원1동,1221073000,8648,793,1077,1870,21.62,2026-08,
서구,서구,치평동,1224074500,28760,4200,4481,8681,30.18,2026-08,
서구,서구,풍암동,1224083000,32862,4204,3332,7536,22.93,2026-08,
서구,서구,화정2동,1224077000,18973,1572,2137,3709,19.55,2026-08,
서구,서구,농성1동,1224065000,11181,1477,1699,3176,28.41,2026-08,
서구,서구,금호1동,1224082100,20816,2189,2521,4710,22.63,2026-08,
남구,남구,봉선2동,1227053800,27101,2323,2065,4388,16.19,2026-08,
남구,남구,진월동,1227070500,26794,3242,2366,5608,20.93,2026-08,
남구,남구,방림1동,1227052000,6097,558,697,1255,20.58,2026-08,
남구,남구,효덕동,1227071000,14725,1608,1850,3458,23.48,2026-08,
남구,남구,송암동,1227072000,20375,1769,3067,4836,23.73,2026-08,
북구,북구,용봉동,1230059000,35625,6294,4226,10520,29.53,2026-08,
북구,북구,두암2동,1230066200,13809,1406,1331,2737,19.82,2026-08,
북구,북구,운암1동,1230060100,17394,1832,1806,3638,20.92,2026-08,
북구,북구,첨단2동,1233062600,39916,6348,5960,12308,30.83,2026-08,프로젝트 분석 기준: 북구로 통일. 인구값·행정동코드(1233062600)는 2026-08 행안부 원본의 광산구 첨단2동 자료를 그대로 사용.
북구,북구,문흥1동,1230065600,14024,1583,1327,2910,20.75,2026-08,
광산구,광산구,첨단1동,1233062400,26648,3781,3899,7680,28.82,2026-08,
광산구,광산구,수완동,1233063700,71925,9121,7522,16643,23.14,2026-08,
광산구,광산구,신가동,1233063000,18174,2374,2041,4415,24.29,2026-08,
광산구,광산구,우산동,1233058000,27447,2901,4415,7316,26.66,2026-08,
광산구,광산구,송정1동,1233051500,9605,1308,926,2234,23.26,2026-08,
