자치구,행정동,H&B/뷰티_개수,H&B/뷰티_최소거리_m,생활쇼핑_개수,생활쇼핑_최소거리_m,SPA패션_개수,SPA패션_최소거리_m,영화/문화_개수,영화/문화_최소거리_m,대형쇼핑_개수,대형쇼핑_최소거리_m,운동_개수,운동_최소거리_m,문화생활_개수,문화생활_최소거리_m,패스트푸드_개수,패스트푸드_최소거리_m
동구,충장동,4,136.0,1,289.0,9,46.0,8,72.0,77,48.0,58,178.0,40,101.0,4,298.0
동구,계림1동,3,1190.0,3,1204.0,9,1178.0,8,806.0,76,103.0,67,158.0,37,95.0,4,1128.0
동구,지산2동,1,558.0,0,,0,,0,,5,1140.0,41,125.0,22,492.0,2,1441.0
동구,학동,3,1264.0,2,743.0,2,1447.0,3,1404.0,20,279.0,50,266.0,28,222.0,4,765.0
동구,지원1동,0,,1,927.0,0,,0,,4,229.0,21,451.0,5,400.0,1,886.0
서구,치평동,3,457.0,2,723.0,2,551.0,8,749.0,60,313.0,57,355.0,6,443.0,4,574.0
서구,풍암동,2,267.0,2,278.0,2,950.0,0,,54,436.0,41,47.0,2,66.0,3,136.0
서구,화정2동,2,797.0,2,734.0,2,1357.0,0,,57,311.0,55,76.0,15,330.0,4,697.0
서구,농성1동,1,765.0,4,732.0,2,732.0,0,,65,217.0,34,8.0,18,404.0,4,626.0
서구,금호1동,1,369.0,3,1244.0,4,1206.0,0,,5,789.0,46,161.0,3,398.0,1,304.0
남구,봉선2동,1,210.0,1,106.0,2,102.0,0,,11,272.0,64,175.0,12,317.0,2,89.0
남구,진월동,1,919.0,1,1449.0,1,1495.0,0,,5,1029.0,32,245.0,1,612.0,3,651.0
남구,방림1동,2,1342.0,2,1046.0,2,1342.0,3,1422.0,23,273.0,78,27.0,21,246.0,5,935.0
남구,효덕동,0,,1,492.0,0,,0,,3,315.0,12,3.0,0,,1,546.0
남구,송암동,0,,1,1042.0,0,,0,,8,333.0,30,771.0,2,427.0,2,1392.0
북구,용봉동,4,875.0,4,816.0,1,360.0,3,1012.0,27,88.0,68,298.0,19,69.0,7,581.0
북구,두암2동,1,1443.0,3,567.0,2,562.0,0,,23,288.0,34,343.0,11,234.0,4,545.0
북구,운암1동,2,532.0,4,420.0,0,,0,,12,365.0,50,32.0,14,408.0,6,440.0
북구,첨단2동,3,201.0,4,102.0,1,782.0,12,553.0,15,152.0,43,133.0,6,115.0,3,191.0
북구,문흥1동,3,36.0,2,59.0,2,1150.0,2,976.0,17,154.0,33,84.0,4,86.0,6,186.0
광산구,첨단1동,3,562.0,4,193.0,1,917.0,12,186.0,15,255.0,43,107.0,6,255.0,3,79.0
광산구,수완동,3,733.0,4,677.0,7,853.0,2,894.0,60,634.0,79,359.0,11,586.0,8,728.0
광산구,신가동,1,570.0,1,1061.0,0,,0,,11,178.0,31,564.0,8,642.0,2,1046.0
광산구,우산동,1,433.0,1,1097.0,3,140.0,8,236.0,16,70.0,19,237.0,3,1043.0,4,448.0
광산구,송정1동,1,721.0,1,485.0,0,,0,,7,197.0,7,229.0,5,157.0,1,304.0
