자치구,행정동,지역,공식조회자치구,공공임대_공급단위수,공공임대_세대수,매입임대_공급단위수,매입임대_세대수,국민임대_공급단위수,국민임대_세대수,행복주택_공급단위수,행복주택_세대수,영구임대_공급단위수,영구임대_세대수,10년임대_공급단위수,10년임대_세대수,50년임대_공급단위수,50년임대_세대수
동구,충장동,동구 충장동,동구,11,81,11,81,0,0,0,0,0,0,0,0,0,0
동구,계림1동,동구 계림1동,동구,20,194,20,194,0,0,0,0,0,0,0,0,0,0
동구,지산2동,동구 지산2동,동구,1,7,1,7,0,0,0,0,0,0,0,0,0,0
동구,학동,동구 학동,동구,8,8,8,8,0,0,0,0,0,0,0,0,0,0
동구,지원1동,동구 지원1동,동구,4,59,4,59,0,0,0,0,0,0,0,0,0,0
서구,치평동,서구 치평동,서구,4,15,4,15,0,0,0,0,0,0,0,0,0,0
서구,풍암동,서구 풍암동,서구,14,116,14,116,0,0,0,0,0,0,0,0,0,0
서구,화정2동,서구 화정2동,서구,7,68,7,68,0,0,0,0,0,0,0,0,0,0
서구,농성1동,서구 농성1동,서구,24,1018,21,215,1,245,1,60,1,498,0,0,0,0
서구,금호1동,서구 금호1동,서구,9,1553,8,53,0,0,0,0,1,1500,0,0,0,0
남구,봉선2동,남구 봉선2동,남구,4,24,4,24,0,0,0,0,0,0,0,0,0,0
남구,진월동,남구 진월동,남구,20,24,20,24,0,0,0,0,0,0,0,0,0,0
남구,방림1동,남구 방림1동,남구,10,91,10,91,0,0,0,0,0,0,0,0,0,0
남구,효덕동,남구 효덕동,남구,114,4437,106,112,5,2713,2,1362,1,250,0,0,0,0
남구,송암동,남구 송암동,남구,47,1177,44,70,1,710,1,264,0,0,1,133,0,0
북구,용봉동,북구 용봉동,북구,58,1337,57,436,1,901,0,0,0,0,0,0,0,0
북구,두암2동,북구 두암2동,북구,18,162,18,162,0,0,0,0,0,0,0,0,0,0
북구,운암1동,북구 운암1동,북구,23,47,23,47,0,0,0,0,0,0,0,0,0,0
북구,첨단2동,북구 첨단2동,광산구,26,296,25,96,0,0,1,200,0,0,0,0,0,0
북구,문흥1동,북구 문흥1동,북구,16,99,16,99,0,0,0,0,0,0,0,0,0,0
광산구,첨단1동,광산구 첨단1동,광산구,45,247,43,47,0,0,2,200,0,0,0,0,0,0
광산구,수완동,광산구 수완동,광산구,22,6828,14,18,8,6810,0,0,0,0,0,0,0,0
광산구,신가동,광산구 신가동,광산구,39,614,38,224,1,390,0,0,0,0,0,0,0,0
광산구,우산동,광산구 우산동,광산구,33,4272,28,248,0,0,2,661,3,3363,0,0,0,0
광산구,송정1동,광산구 송정1동,광산구,7,81,6,71,1,10,0,0,0,0,0,0,0,0
