자치구,행정동,지역,공식정류소수,확인노선수,노선정류소명_연결수,2030인구수,청년1000명당_정류소수,청년1000명당_확인노선수,정류소당_노선연결도_참고,정류소공급_상대부족,노선다양성_상대부족_참고,노선데이터_안전매칭률,노선데이터_활용판정,HL반영여부,지표역할
동구,충장동,동구 충장동,23,0,0,2900,7.93,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
동구,계림1동,동구 계림1동,11,0,0,2635,4.17,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
동구,지산2동,동구 지산2동,16,0,0,1132,14.13,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
동구,학동,동구 학동,15,0,0,1639,9.15,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
동구,지원1동,동구 지원1동,6,0,0,1870,3.21,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
서구,치평동,서구 치평동,50,0,0,8681,5.76,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
서구,풍암동,서구 풍암동,39,0,0,7536,5.18,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
서구,화정2동,서구 화정2동,13,0,0,3709,3.5,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
서구,농성1동,서구 농성1동,18,0,0,3176,5.67,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
서구,금호1동,서구 금호1동,11,0,0,4710,2.34,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
남구,봉선2동,남구 봉선2동,23,0,0,4388,5.24,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
남구,진월동,남구 진월동,17,0,0,5608,3.03,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
남구,방림1동,남구 방림1동,7,0,0,1255,5.58,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
남구,효덕동,남구 효덕동,34,0,0,3458,9.83,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
남구,송암동,남구 송암동,30,0,0,4836,6.2,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
북구,용봉동,북구 용봉동,40,0,0,10520,3.8,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
북구,두암2동,북구 두암2동,15,0,0,2737,5.48,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
북구,운암1동,북구 운암1동,7,0,0,3638,1.92,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
북구,첨단2동,북구 첨단2동,36,0,0,12308,2.92,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
북구,문흥1동,북구 문흥1동,20,0,0,2910,6.87,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
광산구,첨단1동,광산구 첨단1동,36,0,0,7680,4.69,0.0,0.0,False,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
광산구,수완동,광산구 수완동,49,0,0,16643,2.94,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
광산구,신가동,광산구 신가동,14,0,0,4415,3.17,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
광산구,우산동,광산구 우산동,31,0,0,7316,4.24,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
광산구,송정1동,광산구 송정1동,9,0,0,2234,4.03,0.0,0.0,True,,0.54,매칭률 부족 - 정책판단 사용 보류,False,교통 서비스 보조지표 / 기존 HL 교통점수 미변경
