자치구,행정동,공식조회자치구,원본유효거래건수,공공임대제외건수,전체거래건수,전세거래건수,월세거래건수,전세보증금_평균값_만원,월세보증금_평균값_만원,월세_평균값_만원,전체임대차보증금_평균값_만원,월환산주거비_평균값_만원,전용면적_평균값_m2,전세보증금_중앙값_만원,월세보증금_중앙값_만원,월세_중앙값_만원,월환산주거비_중앙값_만원,아파트거래건수,오피스텔거래건수,연립다세대거래건수,단독다가구거래건수,표본상태,주거비산정대상,면적기준,평수기준,거래유형기준,행정동매핑기준,공공임대제외기준,분석시작월,분석종료월,보증금환산율
동구,충장동,동구,622,206,416,146,270,9955.29,870.11,46.19,4058.66,46.89,28.72,9800.0,500.0,50.0,45.83,119,291,6,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
동구,계림1동,동구,24,0,24,2,22,16000.0,800.0,69.55,2066.67,72.36,37.64,16000.0,1000.0,75.0,79.17,24,0,0,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
동구,지산2동,동구,39,0,39,5,34,5278.0,330.0,33.32,964.36,33.07,34.98,5800.0,200.0,30.0,30.83,9,1,29,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
동구,학동,동구,50,0,50,11,39,11772.73,2812.82,65.26,4784.0,70.83,38.33,6700.0,2000.0,60.0,72.5,31,0,19,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
동구,지원1동,동구,33,0,33,9,24,6611.11,5488.58,22.75,5794.73,40.69,42.11,6900.0,7004.0,15.0,44.12,29,4,0,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
서구,치평동,서구,861,82,779,99,680,8634.75,521.91,44.15,1552.94,45.01,27.16,9000.0,500.0,42.0,43.33,191,588,0,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
서구,풍암동,서구,152,0,152,53,99,11587.17,1521.72,47.21,5031.38,51.71,43.14,11000.0,500.0,50.0,52.08,92,60,0,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
서구,화정2동,서구,15,0,15,2,13,3250.0,1474.62,34.92,1711.33,37.4,30.2,3250.0,500.0,42.0,42.83,2,0,13,0,보통,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
서구,농성1동,서구,340,83,257,75,182,11978.67,1002.14,44.41,4205.41,48.97,31.95,11500.0,300.0,35.0,38.25,12,233,12,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
서구,금호1동,서구,137,1,136,41,95,11215.0,1478.84,46.66,4414.01,50.99,49.72,11000.0,1000.0,48.0,50.12,134,2,0,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
남구,봉선2동,남구,35,0,35,7,28,14785.71,1846.43,59.39,4434.29,65.99,52.39,15500.0,1000.0,62.5,67.5,3,30,2,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
남구,진월동,남구,265,0,265,40,225,9837.6,866.44,38.27,2220.58,41.75,32.26,10500.0,300.0,38.0,40.83,102,130,33,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
남구,방림1동,남구,7,5,2,1,1,7000.0,1000.0,25.0,4000.0,29.17,45.72,7000.0,1000.0,25.0,29.17,1,0,1,0,주의,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
남구,효덕동,남구,277,229,48,1,47,15700.0,2215.45,20.55,2496.38,30.53,38.91,15700.0,1463.0,18.0,28.48,45,3,0,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
남구,송암동,남구,92,92,0,0,0,,,,,,,,,,,0,0,0,0,거래없음,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
북구,용봉동,북구,104,19,85,7,78,10094.29,498.21,42.32,1288.47,44.2,32.74,8500.0,300.0,38.0,39.25,48,26,11,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
북구,두암2동,북구,1,0,1,0,1,,0.0,17.0,0.0,17.0,25.25,,0.0,17.0,17.0,0,0,1,0,주의,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
북구,운암1동,북구,65,4,61,9,52,21055.56,1447.6,46.4,4340.57,57.64,37.7,22000.0,500.0,40.0,47.08,55,0,6,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
북구,첨단2동,광산구,794,295,499,119,380,9896.3,782.53,46.93,2955.95,48.06,28.37,10000.0,500.0,48.0,46.67,131,289,79,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
북구,문흥1동,북구,23,0,23,10,13,9100.0,1480.77,44.77,4793.48,45.28,50.14,9000.0,1000.0,45.0,46.17,22,1,0,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
광산구,첨단1동,광산구,382,193,189,58,131,14256.72,1008.02,53.75,5073.76,58.39,41.57,15000.0,500.0,44.0,58.33,9,161,19,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
광산구,수완동,광산구,414,414,0,0,0,,,,,,,,,,,0,0,0,0,거래없음,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
광산구,신가동,광산구,13,4,9,0,9,,722.22,46.89,722.22,49.9,31.77,,300.0,45.0,55.42,9,0,0,0,보통,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
광산구,우산동,광산구,520,192,328,98,230,12127.14,891.17,39.81,4248.26,45.62,40.12,14185.0,300.0,35.0,41.25,305,23,0,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
광산구,송정1동,광산구,50,0,50,21,29,4871.9,344.83,38.31,2246.2,31.58,26.09,4630.0,300.0,35.0,33.04,29,15,6,0,충분,민간임대 실거래(공공임대 주소 일치 거래 제외),전용면적 59.5㎡ 이하,18평 이하,전세+월세,실거래 지번주소→좌표→공식 행정동,마이홈 공공임대 공급단위 주소와 카카오 매칭주소 일치,202507,202606,0.05
