자치구,행정동,주거비_연결법정동,전체거래건수,전세거래건수,월세거래건수,전세보증금_평균값_만원,월세보증금_평균값_만원,월세_평균값_만원,전체임대차보증금_평균값_만원,월환산주거비_평균값_만원,전용면적_평균값_m2,전세보증금_중앙값_만원,월세보증금_중앙값_만원,월세_중앙값_만원,월환산주거비_중앙값_만원,아파트거래건수,오피스텔거래건수,연립다세대거래건수,단독다가구거래건수,표본상태,면적기준,평수기준,거래유형기준,분석시작월,분석종료월,보증금환산율
동구,충장동,충장로1가|충장로2가|충장로3가|충장로4가|충장로5가|금남로1가|금남로2가|금남로3가|금남로4가|금남로5가|황금동|불로동|호남동|수기동|대인동|궁동|장동,660,239,421,10284.16,803.52,45.29,4236.66,46.55,27.6,9800.0,500.0,45.0,43.75,192,462,6,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
동구,계림1동,계림동,146,93,53,18022.69,1488.68,66.64,12020.62,74.28,39.28,19300.0,1000.0,70.0,78.75,144,0,2,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
동구,지산2동,지산동,60,6,54,5731.67,278.15,33.52,823.5,33.6,29.18,6400.0,200.0,31.0,32.04,9,3,48,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
동구,학동,학동,57,13,44,10800.0,2800.0,60.75,4624.56,66.16,39.18,6000.0,2000.0,55.0,70.83,31,0,26,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
동구,지원1동,소태동|용산동,111,14,97,6214.29,3247.02,16.85,3621.27,29.81,35.83,6700.0,2779.0,14.0,27.08,105,4,2,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
서구,치평동,치평동,871,119,752,8810.42,535.77,43.53,1666.29,44.53,27.85,8500.0,500.0,42.0,43.25,199,672,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
서구,풍암동,풍암동,152,53,99,11587.17,1521.72,47.21,5031.38,51.71,43.14,11000.0,500.0,50.0,52.08,92,60,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
서구,화정2동,화정동,344,95,249,9435.05,1617.58,40.28,3776.47,44.89,43.33,9600.0,500.0,39.0,42.08,263,57,24,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
서구,농성1동,농성동,345,90,255,11787.78,888.34,42.27,3731.67,46.79,30.65,12000.0,300.0,35.0,38.25,79,249,17,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
서구,금호1동,금호동,182,58,124,11989.91,1550.81,47.73,4877.56,52.84,49.97,11500.0,1000.0,50.0,52.08,180,2,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
남구,봉선2동,봉선동,228,94,134,8831.8,926.34,43.13,4185.61,42.79,42.93,9000.0,500.0,40.0,39.38,171,53,4,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
남구,진월동,진월동,265,40,225,9837.6,866.44,38.27,2220.58,41.75,32.26,10500.0,300.0,38.0,40.83,102,130,33,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
남구,방림1동,방림동,29,15,14,8366.0,2514.29,38.43,5541.03,41.64,54.05,7000.0,1000.0,41.5,41.67,23,0,6,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
남구,효덕동,노대동|덕남동|행암동,281,3,278,15166.67,2802.33,13.9,2934.34,25.98,35.95,15600.0,2724.0,13.0,25.13,278,3,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
남구,송암동,송하동|임암동,88,0,88,,3320.07,14.74,3320.07,28.57,37.17,,3184.0,11.0,28.51,88,0,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
북구,용봉동,용봉동,110,13,97,10392.31,793.63,38.3,1928.02,41.81,35.49,10740.0,300.0,37.0,38.75,64,32,14,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
북구,두암2동,두암동,126,28,98,6383.04,845.63,33.64,2076.17,34.82,39.72,6300.0,500.0,35.0,36.17,124,0,2,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
북구,운암1동,운암동,123,21,102,14678.81,1456.19,41.8,3713.71,50.14,41.05,16700.0,500.0,40.0,42.08,94,9,20,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
북구,첨단2동,쌍암동|산월동|월계동,1176,240,936,10959.88,901.07,45.15,2953.89,48.24,30.29,10100.0,500.0,42.0,45.0,550,528,98,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
북구,문흥1동,문흥동,218,84,134,8043.99,1304.18,37.78,3901.17,39.48,48.52,8000.0,500.0,40.0,39.15,215,1,2,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
광산구,첨단1동,월계동,397,54,343,9314.63,866.94,43.66,2016.0,46.13,26.78,9550.0,500.0,45.0,45.08,197,186,14,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
광산구,수완동,수완동|장덕동|흑석동,232,1,231,12000.0,2989.46,13.48,3028.3,26.04,45.24,12000.0,2830.0,13.0,26.35,230,0,2,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
광산구,신가동,신가동,196,0,196,,2939.39,14.44,2939.39,26.69,44.65,,2863.0,14.0,26.79,196,0,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
광산구,우산동,우산동,520,127,393,11527.95,1020.67,36.06,3586.88,42.2,39.85,12000.0,300.0,37.0,41.04,471,49,0,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
광산구,송정1동,송정동,267,61,206,7853.43,801.73,42.81,2412.79,43.08,33.19,6500.0,500.0,40.0,41.25,131,123,13,0,충분,전용면적 59.5㎡ 이하,18평 이하,전세+월세,202507,202606,0.05
