자치구,행정동,주거비_연결법정동,전체거래건수,매매거래건수,매매가격_중앙값_만원,전세거래건수,전세보증금_중앙값_만원,월세거래건수,월세보증금_중앙값_만원,월세_중앙값_만원,아파트거래건수,오피스텔거래건수,연립다세대거래건수,단독다가구거래건수
동구,충장동,충장로1가|충장로2가|충장로3가|충장로4가|충장로5가|금남로1가|금남로2가|금남로3가|금남로4가|금남로5가|황금동|불로동|호남동|수기동|대인동|궁동|장동,43,2,16300.0,12,10650.0,29,500.0,41.0,11,30,1,0
동구,계림1동,계림동,81,35,39500.0,33,30000.0,13,5000.0,60.0,77,0,0,0
동구,지산2동,지산동,18,2,33750.0,2,7250.0,14,250.0,40.0,5,0,1,0
동구,학동,학동,18,7,27500.0,3,20000.0,8,2000.0,32.5,13,0,3,0
동구,지원1동,소태동|용산동,37,18,38000.0,9,32500.0,10,5000.0,67.0,36,0,0,0
서구,치평동,치평동,136,42,25500.0,21,16800.0,73,500.0,45.0,75,55,0,0
서구,풍암동,풍암동,83,31,17600.0,23,14000.0,29,500.0,40.0,61,2,0,0
서구,화정2동,화정동,141,42,46400.0,42,16928.0,57,1000.0,45.0,107,6,7,0
서구,농성1동,농성동,37,12,52500.0,11,18550.0,14,300.0,38.5,22,11,0,0
서구,금호1동,금호동,66,37,22500.0,10,16000.0,19,1000.0,50.0,59,0,0,0
남구,봉선2동,봉선동,87,37,41500.0,24,27750.0,26,1000.0,42.5,73,5,0,0
남구,진월동,진월동,43,18,19850.0,5,15000.0,20,1500.0,46.5,35,5,1,0
남구,방림1동,방림동,25,8,32750.0,9,24000.0,8,3000.0,45.0,23,0,0,0
남구,효덕동,노대동|덕남동|행암동,28,9,22500.0,2,27000.0,17,2751.0,18.0,26,0,0,0
남구,송암동,송하동|임암동,31,18,42900.0,7,30000.0,6,2874.0,29.0,31,0,0,0
북구,용봉동,용봉동,64,16,21400.0,9,13000.0,39,200.0,35.0,28,1,1,0
북구,두암2동,두암동,38,16,10650.0,8,8000.0,14,500.0,35.0,29,0,0,0
북구,운암1동,운암동,67,32,23250.0,6,8050.0,29,1000.0,50.0,57,1,1,0
북구,첨단2동,쌍암동|산월동|월계동,213,43,25800.0,69,17000.0,101,500.0,50.0,149,41,11,0
북구,문흥1동,문흥동,51,20,13000.0,12,10515.0,19,300.0,40.0,38,0,0,0
광산구,첨단1동,월계동,105,16,18500.0,24,12500.0,65,500.0,50.0,77,12,4,0
광산구,수완동,수완동|장덕동|흑석동,173,61,47250.0,36,30750.0,76,500.0,44.5,111,0,9,0
광산구,신가동,신가동,70,40,48450.0,12,31500.0,18,2547.0,46.5,65,0,0,0
광산구,우산동,우산동,91,39,27850.0,18,24750.0,34,300.0,42.5,84,6,0,0
광산구,송정1동,송정동,38,8,24250.0,2,12500.0,28,500.0,40.0,17,10,1,0
