지역,자치구,행정동,공식조회자치구,청년공공시설수,통합지원형_수,취업지원형_수,창업지원형_수,프로그램운영형_수,기타공간_수,시설명목록,데이터출처,집계기준
동구 충장동,동구,충장동,동구,7,2,1,0,0,4,518민주화운동기록관 | 광주청년센터 | 광주청년일자리스테이션 동명 | 인재육성아카데미 | 전일빌딩 디지털정보도서관 | 충장22 | 충장동 마을사랑채,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
동구 계림1동,동구,계림1동,동구,0,0,0,0,0,0,,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
동구 지산2동,동구,지산2동,동구,3,0,0,0,0,3,다복마을도서관 | 지산2동 마을사랑채 | 지산2동 행정복지센터,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
동구 학동,동구,학동,동구,1,0,0,0,0,1,학동 마을사랑채,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
동구 지원1동,동구,지원1동,동구,2,0,0,0,0,2,동구영상미디어센터 | 지원1동 마을사랑채,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
서구 치평동,서구,치평동,서구,5,1,1,1,0,2,광주청년센터 토닥토닥 상무점 | 광주청년일자리스테이션 상무 | 꿈이룸 상무 2호점 | 에너지파크 해담마루 | 일가정양립지원본부,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
서구 풍암동,서구,풍암동,서구,2,0,0,0,0,2,서빛마루도서관 | 어린이생태학습도서관,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
서구 화정2동,서구,화정2동,서구,0,0,0,0,0,0,,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
서구 농성1동,서구,농성1동,서구,3,0,1,0,0,2,농성1동 행정복지센터 | 상록도서관 | 서구 Job Café 청춘발산공작소,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
서구 금호1동,서구,금호1동,서구,1,0,0,0,0,1,금호1동 행정복지센터,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
남구 봉선2동,남구,봉선2동,남구,5,1,0,0,0,4,광주남구생활문화센터 | 남구 청년 따순 주먹밥 쉼터 3호점 | 남구문화정보도서관 | 남구청소년도서관 | 봉선2동 작은도서관,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
남구 진월동,남구,진월동,남구,3,1,1,0,0,1,광주공유센터 | 광주대학교 호심취창업지원단 대학일자리플러스센터 | 진월작은도서관,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
남구 방림1동,남구,방림1동,남구,1,0,0,0,0,1,방림1동 작은도서관,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
남구 효덕동,남구,효덕동,남구,2,0,0,0,0,2,효덕동 송화마을 커뮤니티센터 | 효천어울림도서관,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
남구 송암동,남구,송암동,남구,1,0,0,0,0,1,광주온에어스테이션,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
북구 용봉동,북구,용봉동,북구,3,0,2,0,0,1,광주청년일자리스테이션 용봉 | 용봉동 행정복지센터 | 전남대학교 대학일자리플러스센터,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
북구 두암2동,북구,두암2동,북구,0,0,0,0,0,0,,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
북구 운암1동,북구,운암1동,북구,0,0,0,0,0,0,,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
북구 첨단2동,북구,첨단2동,광산구,6,0,0,0,3,3,광산형 구독오피스 5호점 | 꿈꾸는 작업실 | 수미상관 가죽공방 | 첨단2동 작은도서관 | 첨단2동 행정복지센터 | 협동조합 놀자,광주청년통합플랫폼,시설 실제 좌표를 행정동으로 변환하여 해당 행정동 내부에 위치한 공공 청년시설 수 집계
