시트명,사용여부,제외사유,추출행수
순환01,사용,,101
좌석02 ,사용,,84
수완03,사용,,76
매월06,사용,,61
진월07,사용,,67
첨단09,사용,,80
일곡10,사용,,118
수완12,사용,,116
선운14,사용,,49
지원15,사용,,101
매월16,사용,,121
진월17,사용,,102
문흥18,사용,,119
송정19,사용,,118
첨단20,사용,,131
첨단22,사용,,85
첨단23,사용,,86
지원25,사용,,97
매월26,사용,,99
봉선27,사용,,133
일곡28,사용,,120
송정29,사용,,112
첨단30,사용,,119
송암31,사용,,62
송정33,사용,,112
운림35,사용,,86
금호36,사용,,110
봉선37,사용,,147
일곡38,사용,,138
문흥39,사용,,112
첨단40,사용,,117
지원45,사용,,124
금호46,사용,,99
송암47,사용,,122
수완49,사용,,104
운림50,사용,,104
운림51,사용,,115
지원52,사용,,81
문흥53,사용,,39
운림54,사용,,67
금남55,사용,,111
지원56,사용,,80
금남57,사용,,98
금남58,사용,,44
금남59,사용,,105
양산60,사용,,62
매월61,사용,,101
상무62,사용,,99
상무63,사용,,54
상무64,사용,,72
유덕65,사용,,62
송암68,사용,,93
대촌69,사용,,74
대촌70,사용,,85
대촌71,사용,,78
송암72,사용,,123
송암73,사용,,107
송암74,사용,,103
진월75,사용,,107
봉선76,사용,,90
진월77,사용,,75
진월78,사용,,61
진월79,사용,,49
문흥80,사용,,62
두암81,사용,,109
용봉83,사용,,62
용전84,사용,,82
용전85,사용,,64
용전86,사용,,63
석곡87,사용,,60
임곡89,사용,,153
임곡90,사용,,116
임곡91,사용,,111
첨단92,사용,,102
송정93,사용,,54
첨단94,사용,,107
첨단95,사용,,114
송정96,사용,,86
송정97,사용,,107
송정98,사용,,122
송정99,사용,,156
송정100,사용,,63
선운101,사용,,129
지원151 ,사용,,161
지원152,사용,,134
대촌170,사용,,110
진월177,사용,,72
두암181,사용,,58
용전184,사용,,102
충효187,사용,,82
충효188,사용,,85
첨단192,사용,,81
첨단193,사용,,94
진곡196,사용,,110
송정197,사용,,92
대촌270,사용,,85
임곡290,사용,,136
송정296,사용,,72
419,사용,,76
518,사용,,132
1187,사용,,98
1187-1,사용,,35
좌석02(노선신설)2015.5예정,제외,과거·변경·계획·빈 시트 가능성,0
170변경,제외,과거·변경·계획·빈 시트 가능성,0
진월75(8대),제외,과거·변경·계획·빈 시트 가능성,0
Sheet1,제외,과거·변경·계획·빈 시트 가능성,0
