노선,노선파일_정류소명,매칭상태,매칭방식,공식정류소명,공식정류소수,프로젝트지역수,프로젝트지역
순환01,세하동,미매칭,,,0,0,
순환01,서창농협 벽진지점,미매칭,,,0,0,
순환01,김대중컨벤션센터(마륵)역(북),미매칭,,,0,0,
순환01,5.18자유공원,미매칭,,,0,0,
순환01,상무금호아파트,미매칭,,,0,0,
순환01,계수초교,미매칭,,,0,0,
순환01,한국수자원공사,미매칭,,,0,0,
순환01,농협운천지점,미매칭,,,0,0,
순환01,상무지구입구,미매칭,,,0,0,
순환01,운천저수지,미매칭,,,0,0,
순환01,금호초교,미매칭,,,0,0,
순환01,CBS방송국,미매칭,,,0,0,
순환01,금호시영아파트,미매칭,,,0,0,
순환01,서구문화센터,미매칭,,,0,0,
순환01,마재대주아파트,미매칭,,,0,0,
순환01,마재우체국,미매칭,,,0,0,
순환01,풍암모아아파트,미매칭,,,0,0,
순환01,풍암한신아파트,미매칭,,,0,0,
순환01,풍암한국아파트,미매칭,,,0,0,
순환01,풍암우미아파트,미매칭,,,0,0,
순환01,원광대한방병원,미매칭,,,0,0,
순환01,서남하이츠(국제양궁장),미매칭,,,0,0,
순환01,무등시장입구(남),미매칭,,,0,0,
순환01,백운우체국,미매칭,,,0,0,
순환01,남광주농협,미매칭,,,0,0,
순환01,양림휴먼시아1차,미매칭,,,0,0,
순환01,양림휴먼시아2차,미매칭,,,0,0,
순환01,남광주역,미매칭,,,0,0,
순환01,조선대,미매칭,,,0,0,
순환01,살레시오여고,미매칭,,,0,0,
순환01,법원입구,미매칭,,,0,0,
순환01,산수오거리,미매칭,,,0,0,
순환01,풍향시장,미매칭,,,0,0,
순환01,교육대,미매칭,,,0,0,
순환01,서방사거리,미매칭,,,0,0,
순환01,전대동창회관,미매칭,,,0,0,
순환01,광주역육교,미매칭,,,0,0,
순환01,전남대사거리(동),미매칭,,,0,0,
순환01,신안교,미매칭,,,0,0,
순환01,경신여고,미매칭,,,0,0,
순환01,광천치안센터,미매칭,,,0,0,
순환01,광주종합버스터미널,미매칭,,,0,0,
순환01,버들마을,미매칭,,,0,0,
순환01,시청,미매칭,,,0,0,
순환01,한국국토정보공사,미매칭,,,0,0,
순환01,김대중컨벤션센터(마륵)역,미매칭,,,0,0,
순환01,상무대우아파트,미매칭,,,0,0,
순환01,상무중,미매칭,,,0,0,
순환01,상무쌍용금호아파트,미매칭,,,0,0,
좌석02,무등산국립공원(증심사),미매칭,,,0,0,
좌석02,성촌마을/전통문화관,미매칭,,,0,0,
좌석02,운림중,미매칭,,,0,0,
좌석02,연진회미술원,미매칭,,,0,0,
좌석02,홍림교,미매칭,,,0,0,
좌석02,학동무등파크,미매칭,,,0,0,
좌석02,학동증심사입구역,미매칭,,,0,0,
좌석02,조선대병원,미매칭,,,0,0,
좌석02,조선대공과대학,미매칭,,,0,0,
좌석02,서남동행정복지센터,미매칭,,,0,0,
좌석02,"국립아시아문화전당(구,도청)",미매칭,,,0,0,
좌석02,예술의거리입구,미매칭,,,0,0,
좌석02,대인시장(서),미매칭,,,0,0,
좌석02,동부소방서,미매칭,,,0,0,
좌석02,광주역,미매칭,,,0,0,
좌석02,전남대사거리(서),미매칭,,,0,0,
좌석02,경신여고,미매칭,,,0,0,
좌석02,광천치안센터,미매칭,,,0,0,
좌석02,광주종합버스터미널,미매칭,,,0,0,
좌석02,버들마을,미매칭,,,0,0,
좌석02,시청,미매칭,,,0,0,
좌석02,한국은행,미매칭,,,0,0,
좌석02,한국국토정보공사,미매칭,,,0,0,
좌석02,한국수자원공사,미매칭,,,0,0,
좌석02,농협운천지점,미매칭,,,0,0,
좌석02,5.18자유공원,미매칭,,,0,0,
좌석02,김대중컨벤션센터(마륵)역,미매칭,,,0,0,
좌석02,서창입구,미매칭,,,0,0,
좌석02,공항역,미매칭,,,0,0,
좌석02,송정공원역,미매칭,,,0,0,
좌석02,영광통,미매칭,,,0,0,
좌석02,광주송정역,미매칭,,,0,0,
좌석02,신동사거리,미매칭,,,0,0,
좌석02,도산역,미매칭,,,0,0,
좌석02,상선,미매칭,,,0,0,
좌석02,동곡,미매칭,,,0,0,
좌석02,전력거래소,미매칭,,,0,0,
좌석02,문화예술위원회,미매칭,,,0,0,
좌석02,호수공원,미매칭,,,0,0,
좌석02,우정사업정보센터,미매칭,,,0,0,
좌석02,한빛1교,미매칭,,,0,0,
좌석02,전력로,미매칭,,,0,0,
좌석02,혁신로,미매칭,,,0,0,
좌석02,국립전파연구원,미매칭,,,0,0,
좌석02,빛가람행정복지센터,미매칭,,,0,0,
좌석02,한전KDN,미매칭,,,0,0,
좌석02,한국농촌경제연구원,미매칭,,,0,0,
좌석02,김대중컨벤션센터(마륵)역(북),미매칭,,,0,0,
좌석02,학2마을아파트,미매칭,,,0,0,
좌석02,학동평화맨션,미매칭,,,0,0,
수완03,송원대,미매칭,,,0,0,
수완03,송암공단입구,미매칭,,,0,0,
수완03,입하마을,미매칭,,,0,0,
수완03,광주김치타운입구,미매칭,,,0,0,
수완03,광곡입구,미매칭,,,0,0,
수완03,임암,미매칭,,,0,0,
수완03,효천초교,미매칭,,,0,0,
수완03,대동마을,미매칭,,,0,0,
수완03,신기교,미매칭,,,0,0,
수완03,빛고을CC,미매칭,,,0,0,
수완03,구암,미매칭,,,0,0,
수완03,광주대,미매칭,,,0,0,
수완03,금호타운아파트,미매칭,,,0,0,
수완03,동성고,미매칭,,,0,0,
수완03,대성여고,미매칭,,,0,0,
수완03,대광여고,미매칭,,,0,0,
수완03,남광주농협,미매칭,,,0,0,
수완03,남광주역,미매칭,,,0,0,
수완03,조선대,미매칭,,,0,0,
수완03,살레시오여고,미매칭,,,0,0,
수완03,산수오거리,미매칭,,,0,0,
수완03,교육대,미매칭,,,0,0,
수완03,전남대사거리(동),미매칭,,,0,0,
수완03,경신여고,미매칭,,,0,0,
수완03,광천치안센터,미매칭,,,0,0,
수완03,광주종합버스터미널,미매칭,,,0,0,
수완03,운남삼성아파트,미매칭,,,0,0,
수완03,목련마을6단지,미매칭,,,0,0,
수완03,수완중흥S클래스1차,미매칭,,,0,0,
수완03,광주농수산물유통센터(북),미매칭,,,0,0,
수완03,수완모아엘가,미매칭,,,0,0,
수완03,수완현진에버빌1차,미매칭,,,0,0,
수완03,수완우미린2차,미매칭,,,0,0,
수완03,응암공원,미매칭,,,0,0,
수완03,첨단사거리,미매칭,,,0,0,
수완03,우편집중국,미매칭,,,0,0,
수완03,폭스존,미매칭,,,0,0,
수완03,대창운수,미매칭,,,0,0,
매월06,매월동(북),미매칭,,,0,0,
매월06,대동고,미매칭,,,0,0,
매월06,화훼단지,미매칭,,,0,0,
매월06,풍암사거리(동),미매칭,,,0,0,
매월06,마재대주아파트,미매칭,,,0,0,
매월06,서구문화센터,미매칭,,,0,0,
매월06,금호모아아파트,미매칭,,,0,0,
매월06,월드컵경기장,미매칭,,,0,0,
매월06,월산마을,미매칭,,,0,0,
매월06,월산5동,미매칭,,,0,0,
매월06,신우아파트,미매칭,,,0,0,
매월06,주월주택단지,미매칭,,,0,0,
매월06,백운초교(남),미매칭,,,0,0,
매월06,까치고개,미매칭,,,0,0,
매월06,대성사거리,미매칭,,,0,0,
매월06,대성초교,미매칭,,,0,0,
매월06,향교,미매칭,,,0,0,
매월06,충장치안센터,미매칭,,,0,0,
매월06,예술의거리입구,미매칭,,,0,0,
매월06,대인시장(동),미매칭,,,0,0,
매월06,광주고/419역사관,미매칭,,,0,0,
매월06,서방사거리육교,미매칭,,,0,0,
매월06,서방시장(남),미매칭,,,0,0,
매월06,동강대,미매칭,,,0,0,
매월06,말바우시장(동),미매칭,,,0,0,
매월06,무등도서관,미매칭,,,0,0,
매월06,광주병원,미매칭,,,0,0,
매월06,농산물공판장,미매칭,,,0,0,
매월06,문흥지구입구(남),미매칭,,,0,0,
매월06,문흥지구입구(동),미매칭,,,0,0,
매월06,장등동,성공,정확일치,장등동,1,1,북구 석곡동
매월06,광주세무서,미매칭,,,0,0,
진월07,송암공단,미매칭,,,0,0,
진월07,송원대,미매칭,,,0,0,
진월07,송암공단입구,미매칭,,,0,0,
진월07,송하삼익아파트,미매칭,,,0,0,
진월07,광주대입구,미매칭,,,0,0,
진월07,동성고,미매칭,,,0,0,
진월07,대성여고,미매칭,,,0,0,
진월07,진월대주아파트,미매칭,,,0,0,
진월07,대광여고,미매칭,,,0,0,
진월07,백운광장,미매칭,,,0,0,
진월07,백운우체국,미매칭,,,0,0,
진월07,까치고개,미매칭,,,0,0,
진월07,대성사거리,미매칭,,,0,0,
진월07,대성초교,미매칭,,,0,0,
진월07,향교,미매칭,,,0,0,
진월07,충장치안센터,미매칭,,,0,0,
진월07,예술의거리입구,미매칭,,,0,0,
진월07,대인시장(서),미매칭,,,0,0,
진월07,동부소방서,미매칭,,,0,0,
진월07,수창초교후문,미매칭,,,0,0,
진월07,유동사거리,미매칭,,,0,0,
진월07,NC백화점,미매칭,,,0,0,
진월07,광주역,미매칭,,,0,0,
진월07,전남대사거리(동),미매칭,,,0,0,
진월07,효동초교입구,미매칭,,,0,0,
진월07,전남대스포츠센터,미매칭,,,0,0,
진월07,도로교통공단 대신파크,미매칭,,,0,0,
진월07,오치한전,미매칭,,,0,0,
진월07,북부경찰서,미매칭,,,0,0,
