시트명,노선,정류소명,정류소명_key,정류소명_relaxed
순환01,순환01,세하동,세하동,세하동
순환01,순환01,서창농협 벽진지점,서창농협 벽진지점,서창농협벽진지점
순환01,순환01,김대중컨벤션센터(마륵)역(북),김대중컨벤션센터(마륵)역(북),김대중컨벤션센터(마륵)역(북)
순환01,순환01,5.18자유공원,5.18자유공원,518자유공원
순환01,순환01,상무금호아파트,상무금호아파트,상무금호아파트
순환01,순환01,계수초교,계수초교,계수초교
순환01,순환01,한국수자원공사,한국수자원공사,한국수자원공사
순환01,순환01,농협운천지점,농협운천지점,농협운천지점
순환01,순환01,상무지구입구,상무지구입구,상무지구입구
순환01,순환01,운천저수지,운천저수지,운천저수지
순환01,순환01,금호초교,금호초교,금호초교
순환01,순환01,CBS방송국,CBS방송국,CBS방송국
순환01,순환01,금호시영아파트,금호시영아파트,금호시영아파트
순환01,순환01,서구문화센터,서구문화센터,서구문화센터
순환01,순환01,마재대주아파트,마재대주아파트,마재대주아파트
순환01,순환01,마재우체국,마재우체국,마재우체국
순환01,순환01,풍암모아아파트,풍암모아아파트,풍암모아아파트
순환01,순환01,풍암한신아파트,풍암한신아파트,풍암한신아파트
순환01,순환01,풍암한국아파트,풍암한국아파트,풍암한국아파트
순환01,순환01,풍암우미아파트,풍암우미아파트,풍암우미아파트
순환01,순환01,원광대한방병원,원광대한방병원,원광대한방병원
순환01,순환01,서남하이츠(국제양궁장),서남하이츠(국제양궁장),서남하이츠(국제양궁장)
순환01,순환01,무등시장입구(남),무등시장입구(남),무등시장입구(남)
순환01,순환01,백운우체국,백운우체국,백운우체국
순환01,순환01,남광주농협,남광주농협,남광주농협
순환01,순환01,양림휴먼시아1차,양림휴먼시아1차,양림휴먼시아1차
순환01,순환01,양림휴먼시아2차,양림휴먼시아2차,양림휴먼시아2차
순환01,순환01,남광주역,남광주역,남광주역
순환01,순환01,조선대,조선대,조선대
순환01,순환01,살레시오여고,살레시오여고,살레시오여고
순환01,순환01,법원입구,법원입구,법원입구
순환01,순환01,산수오거리,산수오거리,산수오거리
순환01,순환01,풍향시장,풍향시장,풍향시장
순환01,순환01,교육대,교육대,교육대
순환01,순환01,서방사거리,서방사거리,서방사거리
순환01,순환01,전대동창회관,전대동창회관,전대동창회관
순환01,순환01,광주역육교,광주역육교,광주역육교
순환01,순환01,전남대사거리(동),전남대사거리(동),전남대사거리(동)
순환01,순환01,신안교,신안교,신안교
순환01,순환01,경신여고,경신여고,경신여고
순환01,순환01,광천치안센터,광천치안센터,광천치안센터
순환01,순환01,광주종합버스터미널,광주종합버스터미널,광주종합버스터미널
순환01,순환01,버들마을,버들마을,버들마을
순환01,순환01,시청,시청,시청
순환01,순환01,한국국토정보공사,한국국토정보공사,한국국토정보공사
순환01,순환01,김대중컨벤션센터(마륵)역,김대중컨벤션센터(마륵)역,김대중컨벤션센터(마륵)역
순환01,순환01,상무대우아파트,상무대우아파트,상무대우아파트
순환01,순환01,상무중,상무중,상무중
순환01,순환01,상무쌍용금호아파트,상무쌍용금호아파트,상무쌍용금호아파트
좌석02 ,좌석02,무등산국립공원(증심사),무등산국립공원(증심사),무등산국립공원(증심사)
좌석02 ,좌석02,성촌마을/전통문화관,성촌마을/전통문화관,성촌마을/전통문화관
좌석02 ,좌석02,운림중,운림중,운림중
좌석02 ,좌석02,연진회미술원,연진회미술원,연진회미술원
좌석02 ,좌석02,홍림교,홍림교,홍림교
좌석02 ,좌석02,학동무등파크,학동무등파크,학동무등파크
좌석02 ,좌석02,학동증심사입구역,학동증심사입구역,학동증심사입구역
좌석02 ,좌석02,조선대병원,조선대병원,조선대병원
좌석02 ,좌석02,조선대공과대학,조선대공과대학,조선대공과대학
좌석02 ,좌석02,서남동행정복지센터,서남동행정복지센터,서남동행정복지센터
좌석02 ,좌석02,"국립아시아문화전당(구,도청)","국립아시아문화전당(구,도청)","국립아시아문화전당(구,도청)"
좌석02 ,좌석02,예술의거리입구,예술의거리입구,예술의거리입구
좌석02 ,좌석02,대인시장(서),대인시장(서),대인시장(서)
좌석02 ,좌석02,동부소방서,동부소방서,동부소방서
좌석02 ,좌석02,광주역,광주역,광주역
좌석02 ,좌석02,전남대사거리(서),전남대사거리(서),전남대사거리(서)
좌석02 ,좌석02,경신여고,경신여고,경신여고
좌석02 ,좌석02,광천치안센터,광천치안센터,광천치안센터
좌석02 ,좌석02,광주종합버스터미널,광주종합버스터미널,광주종합버스터미널
좌석02 ,좌석02,버들마을,버들마을,버들마을
좌석02 ,좌석02,시청,시청,시청
좌석02 ,좌석02,한국은행,한국은행,한국은행
좌석02 ,좌석02,한국국토정보공사,한국국토정보공사,한국국토정보공사
좌석02 ,좌석02,한국수자원공사,한국수자원공사,한국수자원공사
좌석02 ,좌석02,농협운천지점,농협운천지점,농협운천지점
좌석02 ,좌석02,5.18자유공원,5.18자유공원,518자유공원
좌석02 ,좌석02,김대중컨벤션센터(마륵)역,김대중컨벤션센터(마륵)역,김대중컨벤션센터(마륵)역
좌석02 ,좌석02,서창입구,서창입구,서창입구
좌석02 ,좌석02,공항역,공항역,공항역
좌석02 ,좌석02,송정공원역,송정공원역,송정공원역
좌석02 ,좌석02,영광통,영광통,영광통
좌석02 ,좌석02,광주송정역,광주송정역,광주송정역
좌석02 ,좌석02,신동사거리,신동사거리,신동사거리
좌석02 ,좌석02,도산역,도산역,도산역
좌석02 ,좌석02,상선,상선,상선
좌석02 ,좌석02,동곡,동곡,동곡
좌석02 ,좌석02,전력거래소,전력거래소,전력거래소
좌석02 ,좌석02,문화예술위원회,문화예술위원회,문화예술위원회
좌석02 ,좌석02,호수공원,호수공원,호수공원
좌석02 ,좌석02,우정사업정보센터,우정사업정보센터,우정사업정보센터
좌석02 ,좌석02,한빛1교,한빛1교,한빛1교
좌석02 ,좌석02,전력로,전력로,전력로
좌석02 ,좌석02,혁신로,혁신로,혁신로
좌석02 ,좌석02,국립전파연구원,국립전파연구원,국립전파연구원
좌석02 ,좌석02,빛가람행정복지센터,빛가람행정복지센터,빛가람행정복지센터
좌석02 ,좌석02,한전KDN,한전KDN,한전KDN
