aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm,주소키,위도,경도,검색주소,카카오매칭주소,공식자치구,공식행정동,행정동코드,매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,공식지역,프로젝트지역
아트리뷰스,29110-339,2016,25.08~27.08,신규,14,7,2025,"9,450",32.3909,3,43,0,,,독립로226번길 17,0,00017,00000,4277059,2,12210,12210,수기동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|수기동|43|독립로226번길 17|00017|00000,35.1511524145655,126.909949291548,광주광역시 동구 수기동 43,전남광주통합특별시 동구 독립로226번길 17,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
무등산골드클래스,29110-355,2018,25.07~26.07,신규,14,7,2025,"7,004",39.9979,14,1103,15,,,학소로 109,0,00109,00000,3159017,0,12210,12210,소태동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|소태동|1103|학소로 109|00109|00000,35.129424133719,126.931361516544,광주광역시 동구 소태동 1103,전남광주통합특별시 동구 학소로 109,동구,지원1동,1221073000,성공,동구,지원1동,True,동구 지원1동,동구 지원1동
아트리뷰스,29110-339,2016,25.08~27.08,신규,14,7,2025,"9,450",32.3909,3,43,0,,,독립로226번길 17,0,00017,00000,4277059,2,12210,12210,수기동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|수기동|43|독립로226번길 17|00017|00000,35.1511524145655,126.909949291548,광주광역시 동구 수기동 43,전남광주통합특별시 동구 독립로226번길 17,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
무등산골드클래스,29110-355,2018,25.07~26.07,신규,14,7,2025,"7,004",39.9979,14,1103,15,,,학소로 109,0,00109,00000,3159017,0,12210,12210,소태동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|소태동|1103|학소로 109|00109|00000,35.129424133719,126.931361516544,광주광역시 동구 소태동 1103,전남광주통합특별시 동구 학소로 109,동구,지원1동,1221073000,성공,동구,지원1동,True,동구 지원1동,동구 지원1동
효천엘에이치천년나무7단지,29155-391,2017,25.07~27.08,신규,21,7,2025,"3,050",36.81,7,713,17,,,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동
효천엘에이치천년나무7단지,29155-391,2017,25.07~27.08,신규,21,7,2025,"3,050",36.81,7,713,17,,,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동
벽산블루밍메가씨티3단지,29170-568,2008,25.09~27.09,신규,2,7,2025,"24,000",58.7079,22,69,0,,,북문대로 53,0,00053,00000,2009002,0,12300,12300,운암동,,북구,12300,아파트,전월세,202507,아파트 전월세,,,,,,북구|운암동|69|북문대로 53|00053|00000,35.1747738144985,126.878951074658,광주광역시 북구 운암동 69,전남광주통합특별시 북구 북문대로 53,북구,운암1동,1230060100,성공,북구,운암1동,True,북구 운암1동,북구 운암1동
벽산블루밍메가씨티3단지,29170-568,2008,25.09~27.09,신규,2,7,2025,"24,000",58.7079,22,69,0,,,북문대로 53,0,00053,00000,2009002,0,12300,12300,운암동,,북구,12300,아파트,전월세,202507,아파트 전월세,,,,,,북구|운암동|69|북문대로 53|00053|00000,35.1747738144985,126.878951074658,광주광역시 북구 운암동 69,전남광주통합특별시 북구 북문대로 53,북구,운암1동,1230060100,성공,북구,운암1동,True,북구 운암1동,북구 운암1동
첨단센트럴파크2차,29200-399,2018,25.07~27.07,신규,16,7,2025,"15,000",41.83,8,676-3,0,,,첨단중앙로170번길 87,0,00087,00000,4289614,1,12330,12330,쌍암동,,광산구,12330,아파트,전월세,202507,아파트 전월세,,,,,,광산구|쌍암동|676-3|첨단중앙로170번길 87|00087|00000,35.2209763822162,126.84687920672,광주광역시 광산구 쌍암동 676-3,전남광주통합특별시 광산구 첨단중앙로170번길 87,광산구,첨단1동,1233062400,성공,광산구,첨단1동,True,광산구 첨단1동,광산구 첨단1동
하남주공(2단지),29200-39,1991,25.08~27.08,신규,5,7,2025,500,44.52,4,1571-1,40,,,월곡산정로 12,0,00012,00000,3163042,1,12330,12330,우산동,,광산구,12330,아파트,전월세,202507,아파트 전월세,,,,,,광산구|우산동|1571-1|월곡산정로 12|00012|00000,35.1651071402315,126.803686058,광주광역시 광산구 우산동 1571-1,전남광주통합특별시 광산구 월곡산정로 12,광산구,우산동,1233058000,성공,광산구,우산동,True,광산구 우산동,광산구 우산동
