aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm
용산지구모아엘가에듀파크,29110-359,2019,,,29,7,2025,"28,000",84.9024,3,663,0,,,용산3길 17,,00017,00000,4855763,0,12210,12210,용산동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,
용산지구모아엘가에듀파크,29110-359,2019,,,29,7,2025,"28,000",84.9024,3,663,0,,,용산3길 17,,00017,00000,4855763,0,12210,12210,용산동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,
광주선교지구1차우방아이유쉘아파트,29110-383,2023,,,1,7,2025,"17,000",59.9583,8,487,0,,,선교로 38-30,0,00038,00030,3159009,0,12210,12210,선교동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,
광주선교지구1차우방아이유쉘아파트,29110-383,2023,,,1,7,2025,"17,000",59.9583,8,487,0,,,선교로 38-30,0,00038,00030,3159009,0,12210,12210,선교동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,
내남지구진아리채1차,29110-362,2019,25.08~27.08,갱신,24,7,2025,"20,791",84.988,7,902,5,"20,265",5,육판서길 16,,00016,00000,4277158,1,12210,12210,내남동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,
내남지구진아리채1차,29110-362,2019,25.08~27.08,갱신,24,7,2025,"20,791",84.988,9,902,5,"20,265",5,육판서길 16,,00016,00000,4277158,1,12210,12210,내남동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,
내남지구진아리채1차,29110-362,2019,25.08~27.08,갱신,25,7,2025,"20,791",84.988,5,902,5,"20,265",5,육판서길 16,,00016,00000,4277158,1,12210,12210,내남동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,
내남지구진아리채1차,29110-362,2019,25.08~27.08,갱신,23,7,2025,"20,791",84.988,6,902,5,"20,265",5,육판서길 16,,00016,00000,4277158,1,12210,12210,내남동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,
내남지구진아리채1차,29110-362,2019,25.08~27.08,갱신,22,7,2025,"20,791",84.988,3,902,5,"20,265",5,육판서길 16,,00016,00000,4277158,1,12210,12210,내남동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,
내남지구진아리채1차,29110-362,2019,25.08~27.08,갱신,22,7,2025,"20,791",84.988,15,902,5,"20,265",5,육판서길 16,,00016,00000,4277158,1,12210,12210,내남동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,
