aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm,주소키,위도,경도,검색주소,카카오매칭주소,공식자치구,공식행정동,행정동코드,매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,공식지역,프로젝트지역,지역,전용면적_m2,보증금_만원,월세_만원,검증용_월환산주거비
화정동영무예다음,29140-143,2003,25.09~27.08,신규,30,7,2025,"9,000",51.6878,13,1295,20,,,화운로23번길 7-31,0,00007,00031,4280509,1,12240,12240,화정동,,서구,12240,아파트,전월세,202507,아파트 전월세,,,,,,서구|화정동|1295|화운로23번길 7-31|00007|00031,35.141465532038,126.884877231039,광주광역시 서구 화정동 1295,전남광주통합특별시 서구 화운로23번길 7-25,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,51.6878,9000,20,57.5
무등산센트럴파크,29155-323,2009,25.10~27.10,갱신,25,7,2025,"20,000",51.85,2,562,0,"20,000",,방림로 31,0,00031,00000,3161004,1,12270,12270,방림동,사용,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|방림동|562|방림로 31|00031|00000,35.1357426094961,126.919915877944,광주광역시 남구 방림동 562,전남광주통합특별시 남구 방림로 31,남구,방림1동,1227052000,성공,남구,방림1동,True,남구 방림1동,남구 방림1동,남구 방림1동,51.85,20000,0,83.33333333333333
그린시아,29200-306,2013,25.07~26.07,신규,11,7,2025,500,43.51,4,1015-9,65,,,수등로258번길 4-6,0,00004,00006,4289329,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202507,아파트 전월세,,,,,,광산구|신가동|1015-9|수등로258번길 4-6|00004|00006,35.1848342859556,126.836305801708,광주광역시 광산구 신가동 1015-9,전남광주통합특별시 광산구 수등로258번길 4-6,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,43.51,500,65,67.08333333333333
무등산센트럴파크,29155-323,2009,25.10~27.10,신규,26,9,2025,"4,000",51.85,4,562,50,,,방림로 31,0,00031,00000,3161004,1,12270,12270,방림동,,남구,12270,아파트,전월세,202509,아파트 전월세,,,,,,남구|방림동|562|방림로 31|00031|00000,35.1357426094961,126.919915877944,광주광역시 남구 방림동 562,전남광주통합특별시 남구 방림로 31,남구,방림1동,1227052000,성공,남구,방림1동,True,남구 방림1동,남구 방림1동,남구 방림1동,51.85,4000,50,66.66666666666667
송림그린,29155-10,1983,25.11~27.11,신규,15,9,2025,"7,000",57.88,1,530-4,0,,,용대로183번안길 7,0,00007,00000,4283497,1,12270,12270,방림동,,남구,12270,아파트,전월세,202509,아파트 전월세,,,,,,남구|방림동|530-4|용대로183번안길 7|00007|00000,35.1332022219566,126.916596224361,광주광역시 남구 방림동 530-4,전남광주통합특별시 남구 용대로183번안길 7,남구,방림1동,1227052000,성공,남구,방림1동,True,남구 방림1동,남구 방림1동,남구 방림1동,57.88,7000,0,29.166666666666668
신가주공1차,29200-131,2002,25.10~27.09,신규,9,9,2025,"2,080",51.95,9,963-1,7,,,수등로 204,0,00204,00000,3163025,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202509,아파트 전월세,,,,,,광산구|신가동|963-1|수등로 204|00204|00000,35.1845341688073,126.831079076561,광주광역시 광산구 신가동 963-1,전남광주통합특별시 광산구 수등로 204,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,51.95,2080,7,15.666666666666666
동도엘림타운,29200-374,2016,25.10~26.04,신규,22,10,2025,"2,000",51.3231,4,876,60,,,수등로258번길 50,0,00050,00000,4289329,0,12330,12330,신창동,,광산구,12330,아파트,전월세,202510,아파트 전월세,,,,,,광산구|신창동|876|수등로258번길 50|00050|00000,35.1823673979322,126.839697903079,광주광역시 광산구 신창동 876,전남광주통합특별시 광산구 수등로258번길 50,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,51.3231,2000,60,68.33333333333333
신가주공1차,29200-131,2002,25.11~27.10,갱신,20,10,2025,"2,000",51.95,5,963-1,7,"1,910",7,수등로 204,0,00204,00000,3163025,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202510,아파트 전월세,,,,,,광산구|신가동|963-1|수등로 204|00204|00000,35.1845341688073,126.831079076561,광주광역시 광산구 신가동 963-1,전남광주통합특별시 광산구 수등로 204,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,51.95,2000,7,15.333333333333334
무등산센트럴파크,29155-323,2009,26.01~28.01,신규,14,12,2025,"18,500",51.85,1,562,0,,,방림로 31,0,00031,00000,3161004,1,12270,12270,방림동,,남구,12270,아파트,전월세,202512,아파트 전월세,,,,,,남구|방림동|562|방림로 31|00031|00000,35.1357426094961,126.919915877944,광주광역시 남구 방림동 562,전남광주통합특별시 남구 방림로 31,남구,방림1동,1227052000,성공,남구,방림1동,True,남구 방림1동,남구 방림1동,남구 방림1동,51.85,18500,0,77.08333333333333
그린시아,29200-306,2013,25.12~26.06,신규,27,12,2025,300,19.39,8,1015-9,36,,,수등로258번길 4-6,0,00004,00006,4289329,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202512,아파트 전월세,,,,,,광산구|신가동|1015-9|수등로258번길 4-6|00004|00006,35.1848342859556,126.836305801708,광주광역시 광산구 신가동 1015-9,전남광주통합특별시 광산구 수등로258번길 4-6,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,19.39,300,36,37.25
화정동영무예다음,29140-143,2003,26.01~28.01,신규,5,1,2026,"1,000",43.6318,14,1295,30,,,화운로23번길 7-31,0,00007,00031,4280509,1,12240,12240,화정동,,서구,12240,아파트,전월세,202601,아파트 전월세,,,,,,서구|화정동|1295|화운로23번길 7-31|00007|00031,35.141465532038,126.884877231039,광주광역시 서구 화정동 1295,전남광주통합특별시 서구 화운로23번길 7-25,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,43.6318,1000,30,34.166666666666664
무등산센트럴파크,29155-323,2009,26.02~28.02,신규,10,1,2026,"4,000",51.85,8,562,50,,,방림로 31,0,00031,00000,3161004,1,12270,12270,방림동,,남구,12270,아파트,전월세,202601,아파트 전월세,,,,,,남구|방림동|562|방림로 31|00031|00000,35.1357426094961,126.919915877944,광주광역시 남구 방림동 562,전남광주통합특별시 남구 방림로 31,남구,방림1동,1227052000,성공,남구,방림1동,True,남구 방림1동,남구 방림1동,남구 방림1동,51.85,4000,50,66.66666666666667
그린시아,29200-306,2013,26.02~27.02,신규,7,2,2026,200,13.73,6,1015-9,32,,,수등로258번길 4-6,0,00004,00006,4289329,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202602,아파트 전월세,,,,,,광산구|신가동|1015-9|수등로258번길 4-6|00004|00006,35.1848342859556,126.836305801708,광주광역시 광산구 신가동 1015-9,전남광주통합특별시 광산구 수등로258번길 4-6,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,13.73,200,32,32.833333333333336
신가주공1차,29200-131,2002,26.02~28.03,신규,25,2,2026,"2,039",51.95,10,963-1,8,,,수등로 204,0,00204,00000,3163025,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202602,아파트 전월세,,,,,,광산구|신가동|963-1|수등로 204|00204|00000,35.1845341688073,126.831079076561,광주광역시 광산구 신가동 963-1,전남광주통합특별시 광산구 수등로 204,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,51.95,2039,8,16.495833333333334
그린시아,29200-306,2013,26.02~27.02,신규,23,2,2026,200,43.51,6,1015-9,60,,,수등로258번길 4-6,0,00004,00006,4289329,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202602,아파트 전월세,,,,,,광산구|신가동|1015-9|수등로258번길 4-6|00004|00006,35.1848342859556,126.836305801708,광주광역시 광산구 신가동 1015-9,전남광주통합특별시 광산구 수등로258번길 4-6,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,43.51,200,60,60.833333333333336
그린시아,29200-306,2013,26.03~28.02,신규,23,2,2026,"2,500",43.51,5,1015-9,45,,,수등로258번길 4-6,0,00004,00006,4289329,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202602,아파트 전월세,,,,,,광산구|신가동|1015-9|수등로258번길 4-6|00004|00006,35.1848342859556,126.836305801708,광주광역시 광산구 신가동 1015-9,전남광주통합특별시 광산구 수등로258번길 4-6,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,43.51,2500,45,55.416666666666664
무등산센트럴파크,29155-323,2009,26.04~28.04,신규,4,4,2026,"5,000",51.85,19,562,50,,,방림로 31,0,00031,00000,3161004,1,12270,12270,방림동,,남구,12270,아파트,전월세,202604,아파트 전월세,,,,,,남구|방림동|562|방림로 31|00031|00000,35.1357426094961,126.919915877944,광주광역시 남구 방림동 562,전남광주통합특별시 남구 방림로 31,남구,방림1동,1227052000,성공,남구,방림1동,True,남구 방림1동,남구 방림1동,남구 방림1동,51.85,5000,50,70.83333333333333
그린시아,29200-306,2013,26.05~27.04,신규,27,4,2026,500,43.51,2,1015-9,60,,,수등로258번길 4-6,0,00004,00006,4289329,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202604,아파트 전월세,,,,,,광산구|신가동|1015-9|수등로258번길 4-6|00004|00006,35.1848342859556,126.836305801708,광주광역시 광산구 신가동 1015-9,전남광주통합특별시 광산구 수등로258번길 4-6,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,43.51,500,60,62.083333333333336
신가주공1차,29200-131,2002,26.05~28.04,신규,13,4,2026,"2,019",51.95,8,963-1,8,,,수등로 204,0,00204,00000,3163025,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202604,아파트 전월세,,,,,,광산구|신가동|963-1|수등로 204|00204|00000,35.1845341688073,126.831079076561,광주광역시 광산구 신가동 963-1,전남광주통합특별시 광산구 수등로 204,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,51.95,2019,8,16.4125
그린시아,29200-306,2013,26.06~27.06,신규,30,5,2026,200,13.73,5,1015-9,32,,,수등로258번길 4-6,0,00004,00006,4289329,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202605,아파트 전월세,,,,,,광산구|신가동|1015-9|수등로258번길 4-6|00004|00006,35.1848342859556,126.836305801708,광주광역시 광산구 신가동 1015-9,전남광주통합특별시 광산구 수등로258번길 4-6,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,13.73,200,32,32.833333333333336
그린시아,29200-306,2013,26.05~27.05,신규,7,5,2026,100,13.73,7,1015-9,32,,,수등로258번길 4-6,0,00004,00006,4289329,2,12330,12330,신가동,,광산구,12330,아파트,전월세,202605,아파트 전월세,,,,,,광산구|신가동|1015-9|수등로258번길 4-6|00004|00006,35.1848342859556,126.836305801708,광주광역시 광산구 신가동 1015-9,전남광주통합특별시 광산구 수등로258번길 4-6,광산구,신가동,1233063000,성공,광산구,신가동,True,광산구 신가동,광산구 신가동,광산구 신가동,13.73,100,32,32.416666666666664
,,2016,25.07~27.07,신규,18,7,2025,500,29.44,2,756-37,48,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202507,연립다세대 전월세,,,연립,,에스팰리스,서구|화정동|756-37|||,35.1485347722149,126.877566043078,광주광역시 서구 화정동 756-37,전남광주통합특별시 서구 화운로99번길 19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,29.44,500,48,50.083333333333336
,,2016,25.07~26.07,신규,17,7,2025,500,29.44,2,756-37,48,,,,,,,,,,12240,화정동,,서구,12240,연립다세대,전월세,202507,연립다세대 전월세,,,연립,,에스팰리스,서구|화정동|756-37|||,35.1485347722149,126.877566043078,광주광역시 서구 화정동 756-37,전남광주통합특별시 서구 화운로99번길 19,서구,화정2동,1224077000,성공,서구,화정2동,True,서구 화정2동,서구 화정2동,서구 화정2동,29.44,500,48,50.083333333333336
