프로젝트자치구,프로젝트행정동,지역,현재_거래건수,중복제거가정_거래건수,제거가정_거래건수,현재_월환산주거비_평균,중복제거가정_월환산주거비_평균,평균차이_만원,변화율_pct,현재_주거비순위,중복제거가정_주거비순위,순위변화,민감도판정
광산구,송정1동,광산구 송정1동,50,50,0,31.58,31.58,0.0,0.0,5,5,0,안정
광산구,수완동,광산구 수완동,414,414,0,25.84,25.84,0.0,0.0,3,3,0,안정
광산구,신가동,광산구 신가동,13,13,0,39.46,39.46,0.0,0.0,8,8,0,안정
광산구,우산동,광산구 우산동,520,496,24,42.2,42.0,-0.2,-0.47,12,12,0,안정
광산구,첨단1동,광산구 첨단1동,382,373,9,55.36,55.62,0.26,0.47,20,20,0,안정
남구,방림1동,남구 방림1동,7,7,0,60.42,60.42,0.0,0.0,22,22,0,안정
남구,봉선2동,남구 봉선2동,35,34,1,65.99,66.03,0.04,0.06,23,23,0,안정
남구,송암동,남구 송암동,92,92,0,30.07,30.07,0.0,0.0,4,4,0,안정
남구,진월동,남구 진월동,265,258,7,41.75,41.67,-0.08,-0.19,11,10,-1,안정
남구,효덕동,남구 효덕동,277,274,3,25.44,25.41,-0.03,-0.12,2,2,0,안정
동구,계림1동,동구 계림1동,24,24,0,72.36,72.36,0.0,0.0,25,25,0,안정
동구,지산2동,동구 지산2동,39,39,0,33.07,33.07,0.0,0.0,6,6,0,안정
동구,지원1동,동구 지원1동,33,31,2,40.69,40.87,0.18,0.44,9,9,0,안정
동구,충장동,동구 충장동,622,611,11,46.62,46.68,0.06,0.13,16,16,0,안정
동구,학동,동구 학동,50,49,1,70.83,72.04,1.21,1.71,24,24,0,안정
북구,두암2동,북구 두암2동,1,1,0,17.0,17.0,0.0,0.0,1,1,0,안정
북구,문흥1동,북구 문흥1동,23,21,2,45.28,45.92,0.64,1.41,15,15,0,안정
북구,용봉동,북구 용봉동,104,103,1,41.64,41.69,0.05,0.12,10,11,1,안정
북구,운암1동,북구 운암1동,65,63,2,56.83,56.35,-0.48,-0.84,21,21,0,안정
북구,첨단2동,북구 첨단2동,794,786,8,44.82,44.85,0.03,0.07,14,14,0,안정
서구,금호1동,서구 금호1동,137,132,5,50.67,50.63,-0.04,-0.08,18,18,0,안정
서구,농성1동,서구 농성1동,340,339,1,47.19,47.22,0.03,0.06,17,17,0,안정
서구,치평동,서구 치평동,861,847,14,44.17,44.19,0.02,0.05,13,13,0,안정
서구,풍암동,서구 풍암동,152,146,6,51.71,51.31,-0.4,-0.77,19,19,0,안정
서구,화정2동,서구 화정2동,15,15,0,37.4,37.4,0.0,0.0,7,7,0,안정
