시설명,시설유형,기관분류,주소,자치구,출처,출처URL,수집기준,수집일,위도,경도,카카오검색주소,지오코딩상태,좌표보완방식,좌표보완검색어,공식자치구,공식행정동,행정동코드,행정동매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,원본자치구_좌표자치구_일치
광산구 도시재생공동체센터,기타공간,공공,광주 광산구 장덕로96번길 15 (장덕동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1912241031777,126.816337659051,전남광주통합특별시 광산구 장덕로96번길 15,성공,,,광산구,수완동,1233063700,성공,광산구,수완동,True,True
광산구 주민참여플랫폼 더하기센터,기타공간,공공,광주 광산구 용진로 303 (남산동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.180489296295,126.720909435748,전남광주통합특별시 광산구 용진로 303,성공,,,광산구,본량동,1233069000,성공,광산구,본량동,False,True
광산형 구독오피스 3호점,기타공간,공공,광주 광산구 소촌로85번길 14-9 (소촌동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.152662301273,126.79088222594,전남광주통합특별시 광산구 소촌로85번길 14-9,성공,,,광산구,어룡동,1233056500,성공,광산구,어룡동,False,True
광산형 구독오피스 4호점,기타공간,공공,"광주 광산구 산정공원로72번길 21-12 (월곡동, 월곡2동 행정복지센터)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1743584594335,126.80800207396,전남광주통합특별시 광산구 산정공원로72번길 21-12,성공,,,광산구,월곡2동,1233061000,성공,광산구,월곡2동,False,True
광산형 구독오피스 5호점,기타공간,공공,광주 광산구 산월로21번길 42 (월계동) 첨단2동 세대공감커뮤니티센터 3층,광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2108978847779,126.839804495493,전남광주통합특별시 광산구 산월로21번길 42,성공,,,광산구,첨단2동,1233062600,성공,북구,첨단2동,True,True
동곡동 행정복지센터,기타공간,공공,"광주 광산구 동곡로 151-56 (하산동, 동곡동 행정복지센터)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.0983955925539,126.772085383592,전남광주통합특별시 광산구 동곡로 151-56,성공,,,광산구,동곡동,1233066000,성공,광산구,동곡동,False,True
비아동 행정복지센터,기타공간,공공,"광주 광산구 비아중앙로31번길 8-6 (비아동, 비아동행정복지센터)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2222657473363,126.824426510857,전남광주통합특별시 광산구 비아중앙로31번길 8-6,성공,,,광산구,비아동,1233062000,성공,광산구,비아동,False,True
삼도동 행정복지센터,기타공간,공공,"광주 광산구 오운로 433-1 (도덕동, 삼도동행정복지센터)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1622070185439,126.697579019429,전남광주통합특별시 광산구 오운로 433-1,성공,,,광산구,삼도동,1233068000,성공,광산구,삼도동,False,True
송정1동 커뮤니티센터 송정다락,기타공간,공공,광주 광산구 광산로 98-3 (송정동) 송정다락,광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1422085690859,126.80114202322,전남광주통합특별시 광산구 광산로 98,성공,,,광산구,송정1동,1233051500,성공,광산구,송정1동,True,True
송정다누리작은도서관,기타공간,공공,"광주 광산구 광산로 70 (송정동, 송정1동행정복지센터) 2층 송정다누리작은도서관",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1407141623166,126.798769209652,전남광주통합특별시 광산구 광산로 70,성공,,,광산구,송정1동,1233051500,성공,광산구,송정1동,True,True
신창동 행정복지센터,기타공간,공공,"광주 광산구 왕버들로 291 (신창동, 신창동 행정복지센터)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1955842917607,126.840705647343,전남광주통합특별시 광산구 왕버들로 291,성공,,,광산구,신창동,1233070000,성공,광산구,신창동,False,True
월곡1동 행정복지센터,기타공간,공공,"광주 광산구 사암로 306 (월곡동, 월곡1동 주민센터)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1718784057027,126.809790508863,전남광주통합특별시 광산구 사암로 306,성공,,,광산구,월곡1동,1233060000,성공,광산구,월곡1동,False,True
월곡2동 작은도서관,기타공간,공공,광주광역시 광산구 산정공원로 72번길 21-12,광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1743584594335,126.80800207396,전남광주통합특별시 광산구 산정공원로72번길 21-12,성공,,,광산구,월곡2동,1233061000,성공,광산구,월곡2동,False,True
유노윤호작은도서관 HUG,기타공간,공공,광주 광산구 소촌로85번길 14-9 (소촌동) 소촌아트팩토리,광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.152662301273,126.79088222594,전남광주통합특별시 광산구 소촌로85번길 14-9,성공,,,광산구,어룡동,1233056500,성공,광산구,어룡동,False,True
이야기꽃도서관,기타공간,공공,"광주 광산구 선운중앙로67번길 6 (선암동, 이야기꽃도서관/어룡동행정복지센터)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1484108709334,126.779895141601,전남광주통합특별시 광산구 선운중앙로67번길 6,성공,,,광산구,어룡동,1233056500,성공,광산구,어룡동,False,True
임곡꿈쟁이작은도서관,기타공간,공공,"광주 광산구 고봉로 788 (임곡동, 임곡동행정복지센터/임곡복지문화관)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2195984826766,126.74479017612,전남광주통합특별시 광산구 고봉로 788,성공,,,광산구,임곡동,1233065000,성공,광산구,임곡동,False,True
장덕도서관,기타공간,공공,"광주 광산구 풍영로 179 (장덕동, 장덕도서관)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.187593295059,126.813347020265,전남광주통합특별시 광산구 풍영로 179,성공,,,광산구,수완동,1233063700,성공,광산구,수완동,True,True
첨단2동 작은도서관,기타공간,공공,광주 광산구 월계로22번길 42 (월계동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2103637688642,126.834990382481,전남광주통합특별시 광산구 월계로22번길 42,성공,,,광산구,첨단2동,1233062600,성공,북구,첨단2동,True,True
첨단2동 행정복지센터,기타공간,공공,"광주 광산구 첨단중앙로124번길 24 (월계동, 첨단2동 행정복지센터)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2162497596578,126.843329829405,전남광주통합특별시 광산구 첨단중앙로124번길 24,성공,,,광산구,첨단2동,1233062600,성공,북구,첨단2동,True,True
광산형 구독오피스 1호점,창업지원형,공공,광주 광산구 소촌로85번길 14-9 (소촌동) 광산구 지역경제활력센터,광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.152662301273,126.79088222594,전남광주통합특별시 광산구 소촌로85번길 14-9,성공,,,광산구,어룡동,1233056500,성공,광산구,어룡동,False,True
광산형 구독오피스 2호점,창업지원형,공공,"광주 광산구 단전1길 14 (하남동, 광산공유센터)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1816393259524,126.799375522562,전남광주통합특별시 광산구 단전1길 14,성공,,,광산구,하남동,1233064000,성공,광산구,하남동,False,True
광주여자대학교 대학일자리플러스센터,취업지원형,공공,"광주 광산구 광주여대길 40 (산정동, 광주여자대학교 도서관/대학본부) 도서관 1층",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1631661342677,126.796408497487,전남광주통합특별시 광산구 광주여대길 40,성공,,,광산구,월곡2동,1233061000,성공,광산구,월곡2동,False,True
호남대학교 대학일자리플러스센터,취업지원형,공공,"광주 광산구 호남대길 75 (서봉동, 상지관) 호남대학교 상지관(3호관)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1518534580722,126.767647648668,전남광주통합특별시 광산구 호남대길 75,성공,,,광산구,어룡동,1233056500,성공,광산구,어룡동,False,True
스키나드,통합지원형,공공,"광주 광산구 앰코로 35 (쌍암동, 폭스존)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2215143042016,126.852391831029,전남광주통합특별시 광산구 앰코로 35,성공,,,광산구,첨단1동,1233062400,성공,광산구,첨단1동,True,True
우산동 작은도서관,통합지원형,공공,"광주 광산구 무진대로 246-12 (우산동, 우산동행정복지센터)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1602375375304,126.807040529941,전남광주통합특별시 광산구 무진대로 246-12,성공,,,광산구,우산동,1233058000,성공,광산구,우산동,True,True
주식회사 허니,통합지원형,공공,"광주 광산구 신창로 64 (신창동, 프뤼몰타운)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1909878387072,126.837381786207,전남광주통합특별시 광산구 신창로 64,성공,,,광산구,신창동,1233070000,성공,광산구,신창동,False,True
청청플랫폼,통합지원형,공공,"광주 광산구 첨단중앙로 160 (쌍암동, 첨단1동 행정복지센터) 첨단종합사회복지관 4층",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2194803920107,126.842368587241,전남광주통합특별시 광산구 첨단중앙로 160,성공,,,광산구,첨단1동,1233062400,성공,광산구,첨단1동,True,True
감성스토리 레인보우뮤직,프로그램운영형,공공,광주 광산구 장신로50번길 27 (장덕동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1895661553152,126.815923283518,전남광주통합특별시 광산구 장신로50번길 27,성공,,,광산구,수완동,1233063700,성공,광산구,수완동,True,True
