aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm,주소키,위도,경도,검색주소,카카오매칭주소,공식자치구,공식행정동,행정동코드,매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,공식지역,프로젝트지역
AM-City하이클래스,29110-324,2014,25.08~26.02,신규,25,7,2025,300,17.67,15,154-1,43,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
AM-City하이클래스,29110-324,2014,25.08~26.02,신규,25,7,2025,300,17.67,6,154-1,43,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
AM-City하이클래스,29110-324,2014,25.08~26.01,신규,25,7,2025,300,15.1697,11,154-1,40,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
AM-City하이클래스,29110-324,2014,25.08~25.12,신규,25,7,2025,300,15.1697,6,154-1,40,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
아트리뷰스,29110-339,2016,25.08~27.08,신규,14,7,2025,"9,450",32.3909,3,43,0,,,독립로226번길 17,0,00017,00000,4277059,2,12210,12210,수기동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|수기동|43|독립로226번길 17|00017|00000,35.1511524145655,126.909949291548,광주광역시 동구 수기동 43,전남광주통합특별시 동구 독립로226번길 17,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
AM-City하이클래스,29110-324,2014,25.08~26.08,신규,27,7,2025,500,17.67,13,154-1,38,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
무등산골드클래스,29110-355,2018,25.07~26.07,신규,14,7,2025,"7,004",39.9979,14,1103,15,,,학소로 109,0,00109,00000,3159017,0,12210,12210,소태동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|소태동|1103|학소로 109|00109|00000,35.129424133719,126.931361516544,광주광역시 동구 소태동 1103,전남광주통합특별시 동구 학소로 109,동구,지원1동,1221073000,성공,동구,지원1동,True,동구 지원1동,동구 지원1동
충장아트원,29110-325,2014,25.08~26.07,신규,18,7,2025,300,18,5,14,35,,,중앙로 179,0,00179,00000,3162073,9,12210,12210,충장로4가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|충장로4가|14|중앙로 179|00179|00000,35.149946551823,126.914522764183,광주광역시 동구 충장로4가 14,전남광주통합특별시 동구 중앙로 179,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
영무파라드주상복합,29110-366,2019,25.07~26.07,신규,29,7,2025,500,21.3622,13,148-1,41,,,구성로194번길 15-10,,00015,00010,4277031,0,12210,12210,대인동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|대인동|148-1|구성로194번길 15-10|00015|00010,35.1522157841479,126.915762395587,광주광역시 동구 대인동 148-1,전남광주통합특별시 동구 구성로194번길 15-10,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
충장아트원,29110-325,2014,25.07~25.12,신규,20,7,2025,300,18,9,14,38,,,중앙로 179,0,00179,00000,3162073,9,12210,12210,충장로4가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|충장로4가|14|중앙로 179|00179|00000,35.149946551823,126.914522764183,광주광역시 동구 충장로4가 14,전남광주통합특별시 동구 중앙로 179,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
아트리뷰스,29110-339,2016,25.08~27.08,신규,14,7,2025,"9,450",32.3909,3,43,0,,,독립로226번길 17,0,00017,00000,4277059,2,12210,12210,수기동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|수기동|43|독립로226번길 17|00017|00000,35.1511524145655,126.909949291548,광주광역시 동구 수기동 43,전남광주통합특별시 동구 독립로226번길 17,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
AM-City하이클래스,29110-324,2014,25.08~26.08,신규,25,7,2025,300,15.1697,11,154-1,35,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
진아하이빌1차,29110-61,1998,25.08~27.08,갱신,25,7,2025,"6,200",38.25,10,615-1,0,"5,900",,학소로 65,0,00065,00000,3159017,1,12210,12210,소태동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|소태동|615-1|학소로 65|00065|00000,35.1256300498137,126.934175718646,광주광역시 동구 소태동 615-1,전남광주통합특별시 동구 학소로 65,동구,지원1동,1221073000,성공,동구,지원1동,True,동구 지원1동,동구 지원1동
고운하이츠(22-0),29110-301,2011,25.07~26.07,신규,18,7,2025,"1,000",29.817,9,22,40,,,천변우로 329-10,0,00329,00010,3009025,1,12210,12210,수기동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|수기동|22|천변우로 329-10|00329|00010,35.1508234797879,126.909307097405,광주광역시 동구 수기동 22,전남광주통합특별시 동구 천변우로 329-10,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
충장아트원,29110-325,2014,25.07~26.07,신규,10,7,2025,300,17.94,12,14,37,,,중앙로 179,0,00179,00000,3162073,9,12210,12210,충장로4가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|충장로4가|14|중앙로 179|00179|00000,35.149946551823,126.914522764183,광주광역시 동구 충장로4가 14,전남광주통합특별시 동구 중앙로 179,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
충장고운라피네,29110-348,2017,25.08~27.07,갱신,18,7,2025,"12,257",49.831,13,34,0,"11,900",,충장로58번길 14,,00014,00000,4277237,0,12210,12210,충장로4가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|충장로4가|34|충장로58번길 14|00014|00000,35.1493869644374,126.913097129313,광주광역시 동구 충장로4가 34,전남광주통합특별시 동구 충장로58번길 14,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
무등산골드클래스2차,29110-377,2022,25.07~27.03,신규,16,7,2025,"5,200",39.1727,19,747,31,,,남문로 589,0,00589,00000,3159003,6,12210,12210,용산동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|용산동|747|남문로 589|00589|00000,35.1239894153317,126.931305077941,광주광역시 동구 용산동 747,전남광주통합특별시 동구 남문로 589,동구,지원1동,1221073000,성공,동구,지원1동,True,동구 지원1동,동구 지원1동
동산,29110-16,1981,25.07~27.07,신규,8,7,2025,"1,000",55.62,4,315,45,,,밤실로 40-1,0,00040,00001,3162072,2,12210,12210,지산동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|지산동|315|밤실로 40-1|00040|00001,35.1507603815352,126.937193554116,광주광역시 동구 지산동 315,전남광주통합특별시 동구 밤실로 36,동구,지산2동,1221063000,성공,동구,지산2동,True,동구 지산2동,동구 지산2동
