aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm,주소키,위도,경도,검색주소,카카오매칭주소,공식자치구,공식행정동,행정동코드,매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,공식지역,프로젝트지역
광주선교지구1차우방아이유쉘아파트,29110-383,2023,,,8,7,2025,"14,000",47.1254,6,487,0,,,선교로 38-30,0,00038,00030,3159009,0,12210,12210,선교동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|선교동|487|선교로 38-30|00038|00030,35.0891209088783,126.951413592846,광주광역시 동구 선교동 487,전남광주통합특별시 동구 선교로 38-30,동구,지원2동,1221074000,성공,,,False,동구 지원2동,
광주용산엘에이치1단지,29110-363,2019,25.07~27.08,신규,16,7,2025,"1,090",29.48,21,669,16,,,용산2로 20,0,00020,00000,3351937,0,12210,12210,용산동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|용산동|669|용산2로 20|00020|00000,35.1178678529842,126.922158104439,광주광역시 동구 용산동 669,전남광주통합특별시 동구 용산2로 20,동구,지원2동,1221074000,성공,,,False,동구 지원2동,
광주선교지구1차우방아이유쉘아파트,29110-383,2023,25.08~27.07,신규,8,7,2025,"14,000",47.1254,6,487,0,,,선교로 38-30,0,00038,00030,3159009,0,12210,12210,선교동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|선교동|487|선교로 38-30|00038|00030,35.0891209088783,126.951413592846,광주광역시 동구 선교동 487,전남광주통합특별시 동구 선교로 38-30,동구,지원2동,1221074000,성공,,,False,동구 지원2동,
광주선교지구1차우방아이유쉘아파트,29110-383,2023,25.09~27.09,신규,30,7,2025,"14,000",47.1254,8,487,0,,,선교로 38-30,0,00038,00030,3159009,0,12210,12210,선교동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|선교동|487|선교로 38-30|00038|00030,35.0891209088783,126.951413592846,광주광역시 동구 선교동 487,전남광주통합특별시 동구 선교로 38-30,동구,지원2동,1221074000,성공,,,False,동구 지원2동,
명성맨션,29110-11,1984,25.07~27.07,신규,27,7,2025,"5,000",59.49,3,25,0,,,밤실로 56-3,0,00056,00003,3162072,1,12210,12210,산수동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|산수동|25|밤실로 56-3|00056|00003,35.1530357053466,126.936710561036,광주광역시 동구 산수동 25,전남광주통합특별시 동구 밤실로 56-3,동구,산수2동,1221060000,성공,,,False,동구 산수2동,
계림아이파크에스케이뷰,29110-381,2022,25.08~27.08,신규,28,7,2025,"19,800",39.911,15,1869,0,,,필문대로 70,0,00070,00000,2009007,0,12210,12210,계림동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|계림동|1869|필문대로 70|00070|00000,35.1617139713136,126.926004695904,광주광역시 동구 계림동 1869,전남광주통합특별시 동구 필문대로 70,동구,계림2동,1221057000,성공,,,False,동구 계림2동,
계림아이파크에스케이뷰,29110-381,2022,25.07~27.07,갱신,24,7,2025,"19,800",39.911,12,1869,0,"19,800",,필문대로 70,0,00070,00000,2009007,0,12210,12210,계림동,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|계림동|1869|필문대로 70|00070|00000,35.1617139713136,126.926004695904,광주광역시 동구 계림동 1869,전남광주통합특별시 동구 필문대로 70,동구,계림2동,1221057000,성공,,,False,동구 계림2동,
AM-City하이클래스,29110-324,2014,25.08~26.02,신규,25,7,2025,300,17.67,15,154-1,43,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
AM-City하이클래스,29110-324,2014,25.08~26.02,신규,25,7,2025,300,17.67,6,154-1,43,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
AM-City하이클래스,29110-324,2014,25.08~26.01,신규,25,7,2025,300,15.1697,11,154-1,40,,,금남로 185,0,00185,00000,3009019,1,12210,12210,금남로5가,,동구,12210,아파트,전월세,202507,아파트 전월세,,,,,,동구|금남로5가|154-1|금남로 185|00185|00000,35.1517659240292,126.913725421103,광주광역시 동구 금남로5가 154-1,전남광주통합특별시 동구 금남로 185,동구,충장동,1221052500,성공,동구,충장동,True,동구 충장동,동구 충장동
