NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,본번,부번,단지명,전용면적(㎡),층,건물명
1,전남광주통합특별시 북구 용봉동,1**,8m미만,35.0,월세,202512,31,200,47,2018.0,면앙로6번길,202601~202701,신규,-,,,단독다가구,,,,,,
3,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,26.4,월세,202512,31,30,32,2014.0,승달산길,202601~202701,신규,-,,,단독다가구,,,,,,
4,전남광주통합특별시 북구 용봉동,1***,12m미만,22.45,월세,202512,31,200,40,,설죽로214번길,202512~202612,신규,-,,,단독다가구,,,,,,
5,전남광주통합특별시 광산구 월계동,8**,12m미만,19.83,월세,202512,31,200,30,2005.0,산월로41번길,202601~202612,신규,-,,,단독다가구,,,,,,
6,전남광주통합특별시 북구 용봉동,1***,12m미만,22.72,월세,202512,31,300,36,2022.0,저불로70번길,202512~202612,신규,-,,,단독다가구,,,,,,
7,전남광주통합특별시 북구 용봉동,1***,12m미만,21.94,월세,202512,31,300,62,2022.0,용주로30번길,202601~202701,신규,-,,,단독다가구,,,,,,
8,전남광주통합특별시 북구 용봉동,6**,8m미만,15.03,월세,202512,31,200,29,2020.0,설죽로148번길,202601~202701,신규,-,,,단독다가구,,,,,,
9,전남광주통합특별시 광산구 월계동,7**,12m미만,23.59,월세,202512,31,300,53,2022.0,월계로34번길,202601~202701,신규,-,,,단독다가구,,,,,,
10,전남광주통합특별시 순천시 해룡면 신대리,2***,12m미만,23.07,월세,202512,31,0,55,2023.0,송산2길,202601~202701,신규,-,,,단독다가구,,,,,,
11,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,30.0,월세,202512,31,30,32,2015.0,승달산길,202601~202701,신규,-,,,단독다가구,,,,,,
12,전남광주통합특별시 광산구 신창동,1***,12m미만,32.56,월세,202512,31,200,30,2012.0,신창로106번길,202512~202612,신규,-,,,단독다가구,,,,,,
13,전남광주통합특별시 북구 양산동,9**,12m미만,38.0,월세,202512,31,"1,000",45,2016.0,연양로67번길,202512~202612,신규,-,,,단독다가구,,,,,,
15,전남광주통합특별시 무안군 청계면 도림리,2**,8m미만,26.4,월세,202512,31,30,26,2008.0,승달산길,202601~202612,신규,-,,,단독다가구,,,,,,
17,전남광주통합특별시 무안군 청계면 도림리,4**,8m미만,23.0,월세,202512,31,30,29,2012.0,도림길,202512~202612,신규,-,,,단독다가구,,,,,,
18,전남광주통합특별시 무안군 청계면 도림리,3**,8m미만,26.4,월세,202512,31,30,36,2018.0,도림길,202601~202612,신규,-,,,단독다가구,,,,,,
19,전남광주통합특별시 북구 문흥동,9**,12m미만,39.0,전세,202512,31,"4,000",0,2007.0,서하로355번길,202601~202801,갱신,-,"4,000",0.0,단독다가구,,,,,,
22,전남광주통합특별시 순천시 해룡면 신대리,2***,12m미만,33.71,월세,202512,31,300,55,,송산4길,202512~202605,갱신,-,300,55.0,단독다가구,,,,,,
23,전남광주통합특별시 광산구 흑석동,5**,12m미만,29.75,월세,202512,31,200,45,2016.0,풍영로101번안길,202512~202612,신규,-,,,단독다가구,,,,,,
24,전남광주통합특별시 광산구 장덕동,1***,12m미만,32.64,월세,202512,31,300,29,2012.0,풍영로229번안길,202601~202701,신규,-,,,단독다가구,,,,,,
27,전남광주통합특별시 장성군 남면 삼태리,8**,12m미만,26.26,월세,202512,31,300,54,2024.0,나노산단1로,202601~202701,신규,-,,,단독다가구,,,,,,
28,전남광주통합특별시 광산구 장덕동,1***,12m미만,24.0,월세,202512,31,200,30,2014.0,장신로19번안길,-,-,-,,,단독다가구,,,,,,
30,전남광주통합특별시 동구 서석동,2*,8m미만,20.65,월세,202512,31,500,72,2022.0,백서로189번길,202601~202701,신규,-,,,단독다가구,,,,,,
31,전남광주통합특별시 광산구 신가동,1***,12m미만,25.49,월세,202512,31,200,25,2011.0,신창로33번길,202512~202612,신규,-,,,단독다가구,,,,,,
33,전남광주통합특별시 동구 동명동,1*,8m미만,39.67,월세,202512,31,200,33,2007.0,필문대로,202601~202612,신규,-,,,단독다가구,,,,,,
34,전남광주통합특별시 서구 농성동,6**,12m미만,15.0,전세,202512,31,"6,000",0,2020.0,화정로271번길,-,-,-,,,단독다가구,,,,,,
35,전남광주통합특별시 광산구 하남동,5**,12m미만,39.0,월세,202512,31,300,55,2012.0,하남대로54번안길,202512~202612,신규,-,,,단독다가구,,,,,,
36,전남광주통합특별시 광산구 하남동,1***,12m미만,25.44,월세,202512,31,300,40,,고봉로114번길,202512~202612,신규,-,,,단독다가구,,,,,,
37,전남광주통합특별시 화순군 화순읍 만연리,8*,8m미만,35.0,월세,202512,31,300,50,2015.0,천변좌길,-,-,-,,,단독다가구,,,,,,
38,전남광주통합특별시 동구 지산동,5**,8m미만,26.6,월세,202512,31,300,51,,필문대로273번길,202602~202702,신규,-,,,단독다가구,,,,,,
39,전남광주통합특별시 목포시 옥암동,1***,12m미만,35.51,월세,202512,31,300,40,2020.0,당가두로38번길,202512~202612,신규,-,,,단독다가구,,,,,,
40,전남광주통합특별시 광양시 광양읍 덕례리,1***,8m미만,27.0,월세,202512,31,100,30,2011.0,예구2길,202601~202701,신규,-,,,단독다가구,,,,,,
42,전남광주통합특별시 장흥군 장흥읍 건산리,3**,12m미만,36.0,월세,202512,31,500,45,1994.0,건산로,202512~202612,신규,-,,,단독다가구,,,,,,
43,전남광주통합특별시 서구 쌍촌동,5**,12m미만,29.75,월세,202512,31,300,39,2018.0,운천로162번길,202601~202701,신규,-,,,단독다가구,,,,,,
44,전남광주통합특별시 서구 쌍촌동,9**,8m미만,21.21,월세,202512,31,300,50,2021.0,상무대로967번길,202512~202612,신규,-,,,단독다가구,,,,,,
45,전남광주통합특별시 나주시 빛가람동,8*,12m미만,33.25,월세,202512,31,500,48,2016.0,쌍산3길,202601~202612,갱신,-,300,55.0,단독다가구,,,,,,
47,전남광주통합특별시 순천시 매곡동,4**,12m미만,28.0,월세,202512,31,100,30,2003.0,북정4길,202601~202612,신규,-,,,단독다가구,,,,,,
48,전남광주통합특별시 순천시 매곡동,3**,12m미만,28.0,월세,202512,31,100,35,,북정3길,202602~202701,신규,-,,,단독다가구,,,,,,
50,전남광주통합특별시 순천시 매곡동,4**,8m미만,33.0,월세,202512,31,200,32,2016.0,북정2길,202602~202702,신규,-,,,단독다가구,,,,,,
51,전남광주통합특별시 순천시 매곡동,4*,12m미만,33.0,월세,202512,31,300,50,2019.0,매곡길,202601~202701,신규,-,,,단독다가구,,,,,,
