"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","전남광주통합특별시 서구 쌍촌동","4**","8m미만","28.32","월세","202412","31","400","28","2002","화정로74번길","202412~202612","신규","-","","","단독다가구"
"2","전남광주통합특별시 광산구 산정동","1***","12m미만","26.00","월세","202412","31","200","34","2013","용아로297번길","202501~202601","신규","-","","","단독다가구"
"3","전남광주통합특별시 북구 용봉동","3**","8m미만","30.00","월세","202412","31","200","46","","설죽로214번길","202501~202601","신규","-","","","단독다가구"
"4","전남광주통합특별시 목포시 산정동","1***","12m미만","170.36","전세","202412","31","4,500","0","1989","산정로64번길","202501~202701","신규","-","","","단독다가구"
"5","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","28.50","월세","202412","31","300","55","2020","향매2길","202501~202601","신규","-","","","단독다가구"
"6","전남광주통합특별시 북구 문흥동","9**","12m미만","164.18","월세","202412","31","1,000","40","1996","부남길","202401~202601","신규","-","","","단독다가구"
"7","전남광주통합특별시 북구 일곡동","8**","12m미만","23.14","월세","202412","31","300","26","2013","일곡택지로53번길","202412~202512","신규","-","","","단독다가구"
"8","전남광주통합특별시 광산구 하남동","8**","12m미만","26.77","월세","202412","31","300","46","2022","고봉로125번길","202501~202601","갱신","사용","300","46","단독다가구"
"9","전남광주통합특별시 동구 지산동","3**","8m미만","42.97","월세","202412","31","300","52","2020","지산로","202501~202601","신규","-","","","단독다가구"
"10","전남광주통합특별시 북구 오치동","9**","8m미만","244.58","월세","202412","31","200","40","2017","송월로49번길","202412~202512","신규","-","","","단독다가구"
"11","전남광주통합특별시 광산구 하남동","8**","12m미만","29.73","월세","202412","31","500","70","2021","고봉로125번안길","202412~202512","신규","-","","","단독다가구"
"12","전남광주통합특별시 서구 화정동","1***","12m미만","157.50","월세","202412","31","2,000","50","2003","염화로160번길","202412~202612","신규","-","","","단독다가구"
"13","전남광주통합특별시 남구 월산동","9**","8m미만","20.37","월세","202412","31","200","50","2021","금화로415번길","202412~202512","신규","-","","","단독다가구"
"14","전남광주통합특별시 광산구 신창동","1***","12m미만","25.88","월세","202412","31","200","30","2011","신창로162번길","202501~202601","신규","-","","","단독다가구"
"15","전남광주통합특별시 목포시 죽교동","8*","8m미만","82.60","월세","202412","31","300","30","1983","수문로111번길","202501~202701","신규","-","","","단독다가구"
"16","전남광주통합특별시 서구 풍암동","8**","12m미만","44.15","월세","202412","31","588","15","2009","풍암신흥안길","202501~202612","갱신","-","476","12","단독다가구"
"17","전남광주통합특별시 서구 풍암동","9**","12m미만","40.00","월세","202412","31","100","29","2002","풍암운리로25번길","202412~202512","신규","-","","","단독다가구"
"18","전남광주통합특별시 서구 풍암동","1***","12m미만","34.37","월세","202412","31","8,000","15","2005","풍암중앙로86번길","202501~202701","신규","-","","","단독다가구"
"19","전남광주통합특별시 고흥군 도양읍 봉암리","1***","25m미만","102.33","월세","202412","31","0","13","1995","천마로","202412~202512","신규","-","","","단독다가구"
"20","전남광주통합특별시 북구 양산동","6**","12m미만","33.00","월세","202412","31","200","35","2018","상촌로43번길","202501~202601","신규","-","","","단독다가구"
"21","전남광주통합특별시 광산구 월계동","8**","25m미만","23.00","월세","202412","31","200","30","2015","첨단중앙로124번길","202501~202601","신규","-","","","단독다가구"
"22","전남광주통합특별시 무안군 삼향읍 남악리","1***","12m미만","50.00","월세","202412","31","500","50","2013","남악5로70번길","202501~202601","신규","-","","","단독다가구"
"23","전남광주통합특별시 서구 풍암동","9**","12m미만","41.48","월세","202412","31","6,400","20","2006","풍암운리로25번길","202501~202701","갱신","-","3,500","0","단독다가구"
"24","전남광주통합특별시 서구 풍암동","8**","12m미만","50.00","월세","202412","31","500","38","2004","풍암신흥안길","202412~202612","신규","-","","","단독다가구"
"25","전남광주통합특별시 광산구 신창동","1***","12m미만","26.00","월세","202412","31","200","30","2012","신창로166번길","-","-","-","","","단독다가구"
"26","전남광주통합특별시 서구 광천동","6**","8m미만","120.37","월세","202412","31","30","15","1980","죽봉대로128번길","202412~202512","신규","-","","","단독다가구"
"27","전남광주통합특별시 광산구 장덕동","1***","12m미만","30.00","월세","202412","31","200","30","2011","장덕로40번길","202412~202512","신규","-","","","단독다가구"
"28","전남광주통합특별시 남구 주월동","9**","12m미만","30.00","월세","202412","31","200","33","2013","회재로1224번길","202412~202512","신규","-","","","단독다가구"
"29","전남광주통합특별시 서구 풍암동","1***","12m미만","34.37","월세","202412","31","8,000","15","2005","풍암중앙로86번길","202501~202701","신규","-","","","단독다가구"
"30","전남광주통합특별시 서구 화정동","1***","12m미만","78.00","월세","202412","31","2,000","50","","염화로160번길","-","-","-","","","단독다가구"
"31","전남광주통합특별시 북구 북동","*","12m미만","40.00","월세","202412","31","200","36","2018","금재로75번길","202412~202612","신규","-","","","단독다가구"
"32","전남광주통합특별시 서구 쌍촌동","9**","12m미만","33.00","월세","202412","31","200","33","2015","상무대로868번길","202412~203012","신규","-","","","단독다가구"
"33","전남광주통합특별시 동구 동명동","2**","12m미만","29.70","월세","202412","31","300","50","2002","동계로9번길","202412~202512","신규","-","","","단독다가구"
"34","전남광주통합특별시 북구 북동","*","12m미만","33.00","월세","202412","31","200","38","2018","금재로75번길","202502~202602","신규","-","","","단독다가구"
"35","전남광주통합특별시 여수시 미평동","7**","12m미만","30.00","월세","202412","31","50","35","2010","양지3길","202501~202601","신규","-","","","단독다가구"
"36","전남광주통합특별시 순천시 저전동","1**","8m미만","26.45","월세","202412","31","300","30","","저전2길","202412~202612","신규","-","","","단독다가구"
"37","전남광주통합특별시 여수시 학동","5*","12m미만","72.18","월세","202412","31","1,000","50","1986","학동서3길","202501~202512","신규","-","","","단독다가구"
"38","전남광주통합특별시 여수시 선원동","1***","12m미만","50.00","월세","202412","31","200","41","2012","무선5길","202501~202601","신규","-","","","단독다가구"
"39","전남광주통합특별시 여수시 미평동","7**","12m미만","26.45","월세","202412","31","50","30","2010","양지5길","202501~202601","신규","-","","","단독다가구"
"40","전남광주통합특별시 여수시 미평동","7**","12m미만","30.00","월세","202412","31","70","31","2010","양지3길","202501~202601","신규","-","","","단독다가구"
"41","전남광주통합특별시 여수시 미평동","7**","12m미만","23.00","월세","202412","31","70","31","2010","양지3길","202501~202701","신규","-","","","단독다가구"
"42","전남광주통합특별시 여수시 봉산동","2**","12m미만","92.55","월세","202412","30","0","35","1973","봉산남2길","202501~202601","신규","-","","","단독다가구"
"43","전남광주통합특별시 여수시 화장동","8**","12m미만","27.00","월세","202412","30","200","38","2019","성산6길","202412~202512","신규","-","","","단독다가구"
"44","전남광주통합특별시 여수시 화장동","8**","12m미만","30.00","월세","202412","30","200","45","2021","대통2길","202501~202601","신규","-","","","단독다가구"
"45","전남광주통합특별시 여수시 미평동","7**","8m미만","13.22","월세","202412","30","20","22","1998","양지4길","202501~202601","신규","-","","","단독다가구"
"46","전남광주통합특별시 순천시 조례동","1***","12m미만","115.55","월세","202412","30","1,500","60","1997","남신월1길","202412~202512","신규","-","","","단독다가구"
"47","전남광주통합특별시 순천시 석현동","1**","12m미만","19.80","전세","202412","30","6,000","0","2017","오리정2길","202501~202701","신규","-","","","단독다가구"
"48","전남광주통합특별시 북구 신안동","2**","8m미만","23.10","월세","202412","30","200","27","2010","자미로","202412~202512","신규","-","","","단독다가구"
"49","전남광주통합특별시 광산구 신가동","1***","12m미만","29.00","월세","202412","30","300","44","2013","수완로9번길","202412~202512","신규","-","","","단독다가구"
"50","전남광주통합특별시 서구 화정동","7**","12m미만","16.68","월세","202412","30","200","41","2020","화운로155번길","202412~202512","신규","-","","","단독다가구"
"51","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","30.00","월세","202412","30","300","40","","매안2길","202501~202601","신규","-","","","단독다가구"
"52","전남광주통합특별시 광산구 월계동","8**","12m미만","38.40","월세","202412","30","600","53","1998","월계로118번길","-","-","-","","","단독다가구"
"53","전남광주통합특별시 광산구 월계동","7**","25m미만","27.78","전세","202412","30","3,000","0","2006","월계로16번길","202501~202701","신규","-","","","단독다가구"
"54","전남광주통합특별시 광산구 월계동","8**","12m미만","50.00","월세","202412","30","500","86","2007","첨단내촌로70번길","202412~202512","신규","-","","","단독다가구"
"55","전남광주통합특별시 동구 동명동","1**","8m미만","23.10","월세","202412","30","200","35","2013","필문대로253번길","202412~202512","신규","-","","","단독다가구"
"56","전남광주통합특별시 동구 학동","6**","12m미만","23.00","월세","202412","30","200","30","2014","남문로744번길","202501~202601","신규","-","","","단독다가구"
"57","전남광주통합특별시 북구 용봉동","1**","8m미만","14.87","전세","202412","30","7,000","0","2021","호동로73번길","202501~202701","신규","-","","","단독다가구"
"58","전남광주통합특별시 광산구 하남동","1***","25m미만","25.19","월세","202412","30","300","43","2023","마항길","202501~202601","신규","-","","","단독다가구"
"59","전남광주통합특별시 남구 봉선동","1***","12m미만","75.00","전세","202412","30","8,000","0","","봉선1로62번길","202501~202609","갱신","-","8,000","0","단독다가구"
"60","전남광주통합특별시 서구 쌍촌동","9**","12m미만","33.00","월세","202412","30","200","43","2011","월드컵4강로181번길","202412~202512","신규","-","","","단독다가구"
"61","전남광주통합특별시 남구 봉선동","1***","12m미만","42.30","월세","202412","30","200","55","1990","봉선로79번길","202412~202512","신규","-","","","단독다가구"
"62","전남광주통합특별시 서구 쌍촌동","1***","12m미만","52.00","전세","202412","30","5,000","0","1995","화정로39번길","202501~202701","갱신","-","5,000","0","단독다가구"
"63","전남광주통합특별시 서구 쌍촌동","9**","12m미만","43.00","월세","202412","30","300","35","2016","상무대로876번길","202501~202512","신규","-","","","단독다가구"
"64","전남광주통합특별시 서구 쌍촌동","1***","8m미만","58.68","월세","202412","30","500","35","1990","화정로49번길","202502~202702","신규","-","","","단독다가구"
"65","전남광주통합특별시 서구 풍암동","1***","12m미만","39.60","월세","202412","30","300","45","2006","풍암순환로109번길","202412~202512","신규","-","","","단독다가구"
"66","전남광주통합특별시 남구 주월동","4**","12m미만","36.00","월세","202412","30","300","40","","서문대로749번나길","202412~202512","신규","-","","","단독다가구"
"67","전남광주통합특별시 북구 두암동","5**","12m미만","30.66","전세","202412","30","8,000","0","2002","동문대로180번길","202501~202701","신규","-","","","단독다가구"
"68","전남광주통합특별시 서구 내방동","8**","8m미만","48.44","전세","202412","30","9,000","0","2020","상무대로1005번길","202501~202701","신규","-","","","단독다가구"
"69","전남광주통합특별시 서구 내방동","8**","8m미만","48.44","전세","202412","30","9,000","0","2020","상무대로1005번길","202501~202701","신규","-","","","단독다가구"
"70","전남광주통합특별시 동구 계림동","5**","25m미만","65.60","월세","202412","30","500","30","","무등로","202412~202612","갱신","-","500","30","단독다가구"
"71","전남광주통합특별시 광산구 신창동","1***","12m미만","27.32","월세","202412","30","200","28","2011","신창로106번길","202501~202601","신규","-","","","단독다가구"
"72","전남광주통합특별시 여수시 돌산읍 우두리","1***","8m미만","97.17","월세","202412","30","2,000","60","2019","강남3길","202503~202703","신규","-","","","단독다가구"
"73","전남광주통합특별시 순천시 해룡면 신대리","2***","12m미만","26.40","월세","202412","30","300","50","2013","매안1길","202412~202512","신규","-","","","단독다가구"
"74","전남광주통합특별시 목포시 옥암동","1***","12m미만","23.52","전세","202412","30","3,000","0","2016","당가두로38번길","202412~202612","신규","-","","","단독다가구"
"75","전남광주통합특별시 목포시 옥암동","1***","12m미만","25.00","월세","202412","30","300","40","2019","남악1로52번나길","202501~202601","신규","-","","","단독다가구"
"76","전남광주통합특별시 목포시 옥암동","1***","12m미만","65.00","월세","202412","30","500","60","2016","당가두로14번길","202412~202512","신규","-","","","단독다가구"
"77","전남광주통합특별시 광산구 신창동","1***","12m미만","29.00","월세","202412","30","200","38","2012","신창로138번길","202501~202601","신규","-","","","단독다가구"
"78","전남광주통합특별시 광산구 신창동","1***","12m미만","40.00","월세","202412","30","150","30","2009","장신로333번길","202412~202512","신규","-","","","단독다가구"
"79","전남광주통합특별시 광산구 신창동","6**","8m미만","21.00","월세","202412","30","500","30","2003","북문대로433번길","202412~202512","신규","-","","","단독다가구"
"80","전남광주통합특별시 무안군 청계면 도림리","4**","25m미만","25.00","월세","202412","30","100","30","2018","청계중앙길","202412~202712","신규","-","","","단독다가구"
"81","전남광주통합특별시 남구 방림동","*","25m미만","54.50","전세","202412","30","6,000","0","1994","천변좌로566번길","202501~202701","신규","-","","","단독다가구"
"82","전남광주통합특별시 서구 농성동","3**","8m미만","29.64","월세","202412","30","200","36","2019","월산로235번길","202412~202512","신규","-","","","단독다가구"
"83","전남광주통합특별시 서구 농성동","4**","12m미만","23.14","월세","202412","30","200","35","2015","내방로418번길","202412~202512","신규","-","","","단독다가구"
"84","전남광주통합특별시 서구 금호동","9**","12m미만","45.00","월세","202412","30","4,000","27","2005","화개1로5번길","202501~202601","신규","-","","","단독다가구"
"85","전남광주통합특별시 북구 양산동","7**","12m미만","30.00","월세","202412","30","300","30","2014","상촌로","202412~202512","신규","-","","","단독다가구"
"86","전남광주통합특별시 목포시 상동","7**","12m미만","28.00","전세","202412","30","4,000","0","2014","하당로227번길","202501~202701","신규","-","","","단독다가구"
"87","전남광주통합특별시 목포시 상동","9**","12m미만","73.00","월세","202412","30","1,000","50","1997","입암로","202501~202601","신규","-","","","단독다가구"
