"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 아파트(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","전남광주통합특별시 광산구 선암동","553","0553","0000","선운리버프라임","월세","66.9600","202412","31","7,000","50","4","2017","선운로 65","202501~202612","신규","-","","","아파트"
"2","전남광주통합특별시 화순군 화순읍 만연리","231","0231","0000","부영1","전세","49.7200","202412","31","3,896","0","5","1993","광덕로 170","202501~202601","신규","-","","","아파트"
"3","전남광주통합특별시 화순군 화순읍 만연리","243","0243","0000","부영3","전세","49.9200","202412","31","3,692","0","9","1997","광덕로 180","202501~202601","신규","-","","","아파트"
"4","전남광주통합특별시 영광군 영광읍 도동리","360","0360","0000","도동휴먼시아","월세","51.9300","202412","31","3,896","7","15","2010","물무로 227","202501~202612","신규","-","","","아파트"
"5","전남광주통합특별시 광산구 소촌동","880","0880","0000","힐스테이트광산","월세","84.9245","202412","31","3,000","110","11","2022","어등대로647번북길 8","202501~202701","신규","-","","","아파트"
"6","전남광주통합특별시 나주시 남평읍 동사리","409","0409","0000","나주남평강변도시양우내안애리버시티1차","월세","72.9920","202412","31","2,000","65","11","2018","강변1길 21-31","202501~202701","신규","-","","","아파트"
"7","전남광주통합특별시 순천시 해룡면 신대리","1964","1964","0000","중흥에스-클래스에듀하이10단지","월세","84.9280","202412","31","3,000","110","11","2020","좌야로 179","202502~202702","신규","-","","","아파트"
"8","전남광주통합특별시 여수시 율촌면 월산리","1502-1","1502","0001","율촌1차국제미소래","전세","59.7301","202412","31","17,700","0","4","2024","여순로 1022-179","202501~202701","신규","-","","","아파트"
"9","전남광주통합특별시 순천시 서면 선평리","1087","1087","0000","선평배들마을주공","월세","51.9500","202412","31","1,500","40","5","2001","배들이길 17","202412~202612","신규","-","","","아파트"
"10","전남광주통합특별시 무안군 일로읍 월암리","1165","1165","0000","신화휴리브더테라스","전세","84.9700","202412","31","18,000","0","4","2021","공원길 80","202502~202701","신규","-","","","아파트"
