"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"1","전남광주통합특별시 순천시 조곡동","151-5","0151","0005","동양맨션","전세","63.9600","202412","31","5,500","0","3","1983","역전2길 48","202502~202702","신규","-","","","연립다세대"
"2","전남광주통합특별시 순천시 가곡동","446","0446","0000","가로수빌샵1","월세","25.9250","202412","31","200","36","4","2016","안신기1길 26","202501~202601","신규","-","","","연립다세대"
"3","전남광주통합특별시 서구 쌍촌동","981-79","0981","0079","성원(981-79)","월세","62.0850","202412","31","500","45","2","1980","상무대로884번길 10","202501~202701","신규","-","","","연립다세대"
"4","전남광주통합특별시 광산구 쌍암동","668-13","0668","0013","JuneHouse","월세","19.9700","202412","31","300","36","4","2013","첨단중앙로152번길 6-17","202512~202612","신규","-","","","연립다세대"
"5","전남광주통합특별시 순천시 가곡동","446","0446","0000","가로수빌샵1","월세","24.0100","202412","31","200","33","3","2016","안신기1길 26","202501~202512","신규","-","","","연립다세대"
"6","전남광주통합특별시 순천시 석현동","197-11","0197","0011","나래빌","월세","25.1000","202412","31","200","30","2","2015","오리정2길 9","202412~202602","신규","-","","","연립다세대"
"7","전남광주통합특별시 광산구 수완동","268-24","0268","0024","윤슬의아침6차더힐","월세","108.4135","202412","30","3,000","330","2","2023","상완길 233-24","202501~202701","신규","-","","","연립다세대"
"8","전남광주통합특별시 광산구 소촌동","290","0290","0000","라인1차","월세","59.8700","202412","30","1,000","40","2","1994","소촌로152번길 38","202501~202701","신규","-","","","연립다세대"
"9","전남광주통합특별시 여수시 미평동","696-12","0696","0012","뜰안애","전세","30.1400","202412","30","5,000","0","3","2013","미평9길 11","202412~202612","신규","-","","","연립다세대"
"10","전남광주통합특별시 순천시 조례동","1721-1","1721","0001","(1721-1)","월세","20.9656","202412","30","500","55","4","2019","유동1길 26","202501~202512","신규","-","","","연립다세대"
"11","전남광주통합특별시 동구 지산동","523-4","0523","0004","(523-4)","월세","21.1975","202412","30","200","38","2","2010","필문대로289번길 22-1","202501~202601","신규","-","","","연립다세대"
"12","전남광주통합특별시 동구 지산동","523-4","0523","0004","(523-4)","월세","24.9200","202412","30","200","55","4","2010","필문대로289번길 22-1","202502~202601","신규","-","","","연립다세대"
"13","전남광주통합특별시 동구 지산동","523-4","0523","0004","(523-4)","월세","21.5625","202412","29","150","39","3","2010","필문대로289번길 22-1","202502~202701","신규","-","","","연립다세대"
"14","전남광주통합특별시 목포시 옥암동","1048-14","1048","0014","꿈애하우스","월세","35.2100","202412","29","300","45","4","2015","복산길6번길 25","202412~202512","신규","-","","","연립다세대"
"15","전남광주통합특별시 서구 쌍촌동","1004-10","1004","0010","가도스타디움","월세","16.0712","202412","29","300","35","4","2012","상무대로884번길 17-4","202501~202601","신규","-","","","연립다세대"
"16","전남광주통합특별시 순천시 가곡동","446","0446","0000","가로수빌샵1","월세","28.8500","202412","29","200","33","2","2016","안신기1길 26","202412~202512","신규","-","","","연립다세대"
