"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"1","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","3","2016","신항로276번길 6","202601~202608","신규","-","",""
"2","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","8","2016","신항로276번길 6","202601~202608","신규","-","",""
"3","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","4","2016","신항로276번길 6","202601~202612","갱신","-","200","35"
"4","전남광주통합특별시 광산구 쌍암동","694-106","0694","0106","쌍암동 미르채 리버파크 오피스텔","전세","23.7400","202512","31","9,000","0","7","2021","월계로 235-8","202602~202802","신규","-","",""
"5","전남광주통합특별시 서구 농성동","417-10","0417","0010","센트럴 광천 더 퍼스트 오피스텔","전세","29.0400","202512","31","12,000","0","19","2022","죽봉대로66번길 13","202602~202802","신규","-","",""
"6","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","38.2400","202512","31","200","40","6","2016","신항로276번길 6","202601~202612","갱신","-","200","35"
"7","전남광주통합특별시 나주시 빛가람동","204-1","0204","0001","휴로스센트럴 오피스텔","월세","30.7700","202512","31","1,000","46","3","2020","상야3길 17","202603~202702","갱신","-","1,000","45"
"8","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","3","2016","신항로276번길 6","202601~202608","신규","-","",""
"9","전남광주통합특별시 나주시 빛가람동","197","0197","0000","중흥에스-클래스메가티움1차","월세","28.4200","202512","31","300","40","3","2014","상야2길 7","202601~202612","신규","-","",""
"10","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","3","2016","신항로276번길 6","202601~202608","신규","-","",""
"11","전남광주통합특별시 나주시 빛가람동","204-1","0204","0001","휴로스센트럴 오피스텔","월세","30.7700","202512","31","1,000","53","12","2020","상야3길 17","202601~202701","신규","-","",""
"12","전남광주통합특별시 여수시 웅천동","1887-1","1887","0001","웅천 롯데캐슬 마리나","월세","33.4700","202512","31","500","65","7","2022","웅천남7로 24","202601~202612","신규","-","",""
"13","전남광주통합특별시 서구 치평동","1203-1","1203","0001","중흥에스-클래스스카이31","월세","29.9400","202512","31","500","60","23","2014","시청로 97","202601~202701","신규","-","",""
"14","전남광주통합특별시 서구 치평동","1203-1","1203","0001","중흥에스-클래스스카이31","월세","29.9400","202512","31","500","45","16","2014","시청로 97","202601~202701","신규","-","",""
"15","전남광주통합특별시 서구 치평동","1203-1","1203","0001","중흥에스-클래스스카이31","월세","29.9400","202512","31","500","45","17","2014","시청로 97","202601~202701","신규","-","",""
"16","전남광주통합특별시 서구 치평동","1258-5","1258","0005","상무리채2","월세","26.8100","202512","31","300","40","5","2014","시청로 13","202601~202612","신규","-","",""
"17","전남광주통합특별시 나주시 빛가람동","200","0200","0000","중흥에스-클래스메가티움2차","월세","29.1200","202512","31","300","40","7","2015","상야3길 8","202601~202612","신규","-","",""
"18","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","7","2016","신항로276번길 6","202601~202608","신규","-","",""
"19","전남광주통합특별시 나주시 빛가람동","285-1","0285","0001","금정타워","월세","28.0800","202512","31","500","50","4","2016","배멧1길 26-2","202512~202612","신규","-","",""
"20","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","3","2016","신항로276번길 6","202601~202712","갱신","-","200","35"
"21","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","38.4700","202512","31","200","40","8","2016","신항로276번길 6","202601~202608","신규","-","",""
"22","전남광주통합특별시 나주시 빛가람동","197","0197","0000","중흥에스-클래스메가티움1차","월세","28.4200","202512","31","300","50","8","2014","상야2길 7","202601~202607","신규","-","",""
"23","전남광주통합특별시 나주시 빛가람동","197","0197","0000","중흥에스-클래스메가티움1차","전세","28.4200","202512","31","5,400","0","9","2014","상야2길 7","202601~202801","신규","-","",""
"24","전남광주통합특별시 서구 치평동","1203-1","1203","0001","중흥에스-클래스스카이31","월세","29.9400","202512","31","500","45","8","2014","시청로 97","202601~202701","신규","-","",""
"25","전남광주통합특별시 나주시 빛가람동","189-1","0189","0001","펠리시티S","월세","31.5200","202512","31","300","36","6","2014","전력로 6","202601~202701","신규","-","",""
"26","전남광주통합특별시 동구 호남동","48","0048","0000","호남동 중우 아펠리스","월세","32.7500","202512","31","500","55","9","2021","천변우로 381","202601~202701","신규","-","",""
"27","전남광주통합특별시 광산구 하남동","506-11","0506","0011","예미지 파크힐스","월세","22.0000","202512","31","500","50","9","2022","하남산단1번로 61","202601~202701","갱신","-","500","45"
"28","전남광주통합특별시 광산구 하남동","742","0742","0000","와이부티크","월세","25.5600","202512","31","500","47","2","2018","하남대로 80","202512~202612","신규","-","",""
"29","전남광주통합특별시 무안군 삼향읍 남악리","2624","2624","0000","남악센트레빌리버파크","전세","84.7300","202512","31","18,500","0","11","2019","남악로250번길 60","202601~202801","신규","-","",""
"30","전남광주통합특별시 무안군 삼향읍 남악리","2624","2624","0000","남악센트레빌리버파크","전세","84.7300","202512","31","18,500","0","11","2019","남악로250번길 60","-","-","-","",""
"31","전남광주통합특별시 나주시 빛가람동","197","0197","0000","중흥에스-클래스메가티움1차","월세","28.4200","202512","31","300","40","3","2014","상야2길 7","202512~202612","신규","-","",""
"32","전남광주통합특별시 목포시 석현동","1170-24","1170","0024","스타팰리스(1170-24)","월세","34.5000","202512","31","300","37","6","2011","석현로 18-1","202601~202701","갱신","-","300","33"
"33","전남광주통합특별시 나주시 빛가람동","197","0197","0000","중흥에스-클래스메가티움1차","월세","28.4200","202512","31","300","40","7","2014","상야2길 7","202601~202612","신규","-","",""
"34","전남광주통합특별시 동구 금남로4가","79-1","0079","0001","로머스파크","전세","24.9700","202512","31","9,143","0","24","2021","금남로 202","202601~202801","신규","-","",""
"35","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","7","2016","신항로276번길 6","202601~202608","신규","-","",""
"36","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","3","2016","신항로276번길 6","202601~202608","신규","-","",""
"37","전남광주통합특별시 여수시 덕충동","2037-4","2037","0004","오션블루 오피스텔","월세","29.4500","202512","31","300","43","3","2018","덕충안길 92","202512~202612","신규","-","",""
"38","전남광주통합특별시 목포시 달동","1336-32","1336","0032","달동 M타운","월세","39.2700","202512","31","200","40","3","2016","신항로276번길 6","202601~202608","신규","-","",""
